cell_type	markers
astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SLC1A2
microglial cell	P2RY12,TMEM119,CX3CR1,CSF1R,AIF1
RPE cell	RPE65,BEST1,LRAT,PMEL,TYR,RLBP1
cone cell	ARR3,OPN1LW,OPN1MW,OPN1SW,GNAT2,PDE6C
rod cell	RHO,GNAT1,PDE6A,CNGA1,SAG,NRL
horizontal cell	LHX1,ONECUT1,ONECUT2,PROX1,CALB1
bipolar cell	VSX2,OTX2,GRM6,TRPM1,CABP5
RGC	RBPMS,POU4F1,POU4F2,SNCG,THY1,NEFL
T cells	CD3D,CD3E,TRAC,IL7R,LTB
macrophage	CD68,CD163,LST1,FCGR3A,CTSS
Schwann cell	S100B,SOX10,MPZ,PMP22,PLP1
Pericyte	RGS5,PDGFRB,CSPG4,MCAM,DES
B cell	MS4A1,CD79A,CD74,CD37,CD22
fibroblast	COL1A1,COL1A2,DCN,LUM,COL3A1
endothelial cell	PECAM1,VWF,KDR,EMCN,CLDN5
muller glia cell	RLBP1,GLUL,SLC1A3,CLU,SOX9
