organ_a,organ_b,swap_score,rank,evidence_type
Cloaca,Stomach,1.25271460,1,library-normalized promoter-marker coherence gain
GallBladder,Stomach,0.67475943,2,library-normalized promoter-marker coherence gain
Bladder,Cloaca,0.59556608,3,library-normalized promoter-marker coherence gain
Cloaca,GallBladder,0.51085429,4,library-normalized promoter-marker coherence gain
Bladder,Stomach,0.25890947,5,library-normalized promoter-marker coherence gain
Prostate,Stomach,0.19438276,6,library-normalized promoter-marker coherence gain
Intestine,Stomach,0.17074406,7,library-normalized promoter-marker coherence gain
Kidney,Stomach,0.17071262,8,library-normalized promoter-marker coherence gain
Bladder,Gill,0.16783697,9,library-normalized promoter-marker coherence gain
Bladder,GallBladder,0.14098964,10,library-normalized promoter-marker coherence gain
Heart,Stomach,0.06573909,11,library-normalized promoter-marker coherence gain
Gill,Kidney,0.05833744,12,library-normalized promoter-marker coherence gain
Limb,Stomach,-0.00736722,13,library-normalized promoter-marker coherence gain
Cloaca,Prostate,-0.03007747,14,library-normalized promoter-marker coherence gain
GallBladder,Kidney,-0.07008665,15,library-normalized promoter-marker coherence gain
Bladder,Limb,-0.08526191,16,library-normalized promoter-marker coherence gain
Heart,Kidney,-0.10693203,17,library-normalized promoter-marker coherence gain
Heart,Limb,-0.11809898,18,library-normalized promoter-marker coherence gain
GallBladder,Gill,-0.15210000,19,library-normalized promoter-marker coherence gain
Cloaca,Limb,-0.23959590,20,library-normalized promoter-marker coherence gain
Bladder,Kidney,-0.27651795,21,library-normalized promoter-marker coherence gain
Gill,Prostate,-0.32863911,22,library-normalized promoter-marker coherence gain
GallBladder,Heart,-0.34250217,23,library-normalized promoter-marker coherence gain
Cloaca,Kidney,-0.34787626,24,library-normalized promoter-marker coherence gain
Cloaca,Gill,-0.37095704,25,library-normalized promoter-marker coherence gain
Brain,Cloaca,-0.42849712,26,library-normalized promoter-marker coherence gain
Brain,Stomach,-0.43770588,27,library-normalized promoter-marker coherence gain
GallBladder,Limb,-0.45463295,28,library-normalized promoter-marker coherence gain
Kidney,Limb,-0.47731607,29,library-normalized promoter-marker coherence gain
Gill,Stomach,-0.54595241,30,library-normalized promoter-marker coherence gain
Bladder,Prostate,-0.57885528,31,library-normalized promoter-marker coherence gain
Cloaca,Heart,-0.62968965,32,library-normalized promoter-marker coherence gain
GallBladder,Prostate,-0.64331204,33,library-normalized promoter-marker coherence gain
Brain,GallBladder,-0.66076057,34,library-normalized promoter-marker coherence gain
Bladder,Heart,-0.74582818,35,library-normalized promoter-marker coherence gain
GallBladder,Intestine,-0.76123288,36,library-normalized promoter-marker coherence gain
Brain,Kidney,-0.77802133,37,library-normalized promoter-marker coherence gain
Gill,Heart,-0.81873383,38,library-normalized promoter-marker coherence gain
Bladder,Brain,-0.83104415,39,library-normalized promoter-marker coherence gain
Liver,Stomach,-0.86921127,40,library-normalized promoter-marker coherence gain
Kidney,Prostate,-0.89311830,41,library-normalized promoter-marker coherence gain
Gill,Limb,-0.89898358,42,library-normalized promoter-marker coherence gain
Brain,Heart,-0.92271704,43,library-normalized promoter-marker coherence gain
Spleen,Stomach,-0.98510345,44,library-normalized promoter-marker coherence gain
Brain,Limb,-1.00386110,45,library-normalized promoter-marker coherence gain
Kidney,Spleen,-1.05730435,46,library-normalized promoter-marker coherence gain
Limb,Prostate,-1.07378634,47,library-normalized promoter-marker coherence gain
Intestine,Kidney,-1.10234234,48,library-normalized promoter-marker coherence gain
Heart,Prostate,-1.14227100,49,library-normalized promoter-marker coherence gain
Cloaca,Intestine,-1.18416912,50,library-normalized promoter-marker coherence gain
Brain,Gill,-1.21581510,51,library-normalized promoter-marker coherence gain
Bladder,Intestine,-1.21723151,52,library-normalized promoter-marker coherence gain
Heart,Spleen,-1.22818418,53,library-normalized promoter-marker coherence gain
GallBladder,Spleen,-1.29251310,54,library-normalized promoter-marker coherence gain
Heart,Intestine,-1.30083292,55,library-normalized promoter-marker coherence gain
GallBladder,Liver,-1.34677842,56,library-normalized promoter-marker coherence gain
Bladder,Spleen,-1.36821271,57,library-normalized promoter-marker coherence gain
Cloaca,Liver,-1.39435303,58,library-normalized promoter-marker coherence gain
Intestine,Limb,-1.44553318,59,library-normalized promoter-marker coherence gain
Limb,Spleen,-1.47226300,60,library-normalized promoter-marker coherence gain
Kidney,Liver,-1.47305331,61,library-normalized promoter-marker coherence gain
Cloaca,Spleen,-1.54174909,62,library-normalized promoter-marker coherence gain
Gill,Intestine,-1.58313845,63,library-normalized promoter-marker coherence gain
Heart,Liver,-1.59470765,64,library-normalized promoter-marker coherence gain
Brain,Intestine,-1.62638787,65,library-normalized promoter-marker coherence gain
Brain,Prostate,-1.65050546,66,library-normalized promoter-marker coherence gain
Prostate,Spleen,-1.68071609,67,library-normalized promoter-marker coherence gain
Bladder,Liver,-1.68220417,68,library-normalized promoter-marker coherence gain
Gill,Spleen,-1.72423062,69,library-normalized promoter-marker coherence gain
Brain,Spleen,-1.75983559,70,library-normalized promoter-marker coherence gain
Intestine,Liver,-1.84760069,71,library-normalized promoter-marker coherence gain
Intestine,Prostate,-1.87461203,72,library-normalized promoter-marker coherence gain
Limb,Liver,-1.91999917,73,library-normalized promoter-marker coherence gain
