organ_a,organ_b,swap_score,rank,evidence_type
Cloaca,Stomach,1.25271460,1,TSS promoter CPM reciprocal marker-coherence gain
GallBladder,Stomach,0.67475943,2,TSS promoter CPM reciprocal marker-coherence gain
Bladder,Cloaca,0.59556608,3,TSS promoter CPM reciprocal marker-coherence gain
Cloaca,GallBladder,0.51085429,4,TSS promoter CPM reciprocal marker-coherence gain
Bladder,Stomach,0.25890947,5,TSS promoter CPM reciprocal marker-coherence gain
Prostate,Stomach,0.19438276,6,TSS promoter CPM reciprocal marker-coherence gain
Intestine,Stomach,0.17074406,7,TSS promoter CPM reciprocal marker-coherence gain
Kidney,Stomach,0.17071262,8,TSS promoter CPM reciprocal marker-coherence gain
Bladder,Gill,0.16783697,9,TSS promoter CPM reciprocal marker-coherence gain
Bladder,GallBladder,0.14098964,10,TSS promoter CPM reciprocal marker-coherence gain
Heart,Stomach,0.06573909,11,TSS promoter CPM reciprocal marker-coherence gain
Gill,Kidney,0.05833744,12,TSS promoter CPM reciprocal marker-coherence gain
Limb,Stomach,-0.00736722,13,TSS promoter CPM reciprocal marker-coherence gain
Cloaca,Prostate,-0.03007747,14,TSS promoter CPM reciprocal marker-coherence gain
GallBladder,Kidney,-0.07008665,15,TSS promoter CPM reciprocal marker-coherence gain
Bladder,Limb,-0.08526191,16,TSS promoter CPM reciprocal marker-coherence gain
Heart,Kidney,-0.10693203,17,TSS promoter CPM reciprocal marker-coherence gain
Heart,Limb,-0.11809898,18,TSS promoter CPM reciprocal marker-coherence gain
GallBladder,Gill,-0.15210000,19,TSS promoter CPM reciprocal marker-coherence gain
Cloaca,Limb,-0.23959590,20,TSS promoter CPM reciprocal marker-coherence gain
Bladder,Kidney,-0.27651795,21,TSS promoter CPM reciprocal marker-coherence gain
Gill,Prostate,-0.32863911,22,TSS promoter CPM reciprocal marker-coherence gain
GallBladder,Heart,-0.34250217,23,TSS promoter CPM reciprocal marker-coherence gain
Cloaca,Kidney,-0.34787626,24,TSS promoter CPM reciprocal marker-coherence gain
Cloaca,Gill,-0.37095704,25,TSS promoter CPM reciprocal marker-coherence gain
Brain,Cloaca,-0.42849712,26,TSS promoter CPM reciprocal marker-coherence gain
Brain,Stomach,-0.43770588,27,TSS promoter CPM reciprocal marker-coherence gain
GallBladder,Limb,-0.45463295,28,TSS promoter CPM reciprocal marker-coherence gain
Kidney,Limb,-0.47731607,29,TSS promoter CPM reciprocal marker-coherence gain
Gill,Stomach,-0.54595241,30,TSS promoter CPM reciprocal marker-coherence gain
Bladder,Prostate,-0.57885528,31,TSS promoter CPM reciprocal marker-coherence gain
Cloaca,Heart,-0.62968965,32,TSS promoter CPM reciprocal marker-coherence gain
GallBladder,Prostate,-0.64331204,33,TSS promoter CPM reciprocal marker-coherence gain
Brain,GallBladder,-0.66076057,34,TSS promoter CPM reciprocal marker-coherence gain
Bladder,Heart,-0.74582818,35,TSS promoter CPM reciprocal marker-coherence gain
GallBladder,Intestine,-0.76123288,36,TSS promoter CPM reciprocal marker-coherence gain
Brain,Kidney,-0.77802133,37,TSS promoter CPM reciprocal marker-coherence gain
Gill,Heart,-0.81873383,38,TSS promoter CPM reciprocal marker-coherence gain
Bladder,Brain,-0.83104415,39,TSS promoter CPM reciprocal marker-coherence gain
Liver,Stomach,-0.86921127,40,TSS promoter CPM reciprocal marker-coherence gain
Kidney,Prostate,-0.89311830,41,TSS promoter CPM reciprocal marker-coherence gain
Gill,Limb,-0.89898358,42,TSS promoter CPM reciprocal marker-coherence gain
Brain,Heart,-0.92271704,43,TSS promoter CPM reciprocal marker-coherence gain
Spleen,Stomach,-0.98510345,44,TSS promoter CPM reciprocal marker-coherence gain
Brain,Limb,-1.00386110,45,TSS promoter CPM reciprocal marker-coherence gain
Kidney,Spleen,-1.05730435,46,TSS promoter CPM reciprocal marker-coherence gain
Limb,Prostate,-1.07378634,47,TSS promoter CPM reciprocal marker-coherence gain
Intestine,Kidney,-1.10234234,48,TSS promoter CPM reciprocal marker-coherence gain
Heart,Prostate,-1.14227100,49,TSS promoter CPM reciprocal marker-coherence gain
Cloaca,Intestine,-1.18416912,50,TSS promoter CPM reciprocal marker-coherence gain
Brain,Gill,-1.21581510,51,TSS promoter CPM reciprocal marker-coherence gain
Bladder,Intestine,-1.21723151,52,TSS promoter CPM reciprocal marker-coherence gain
Heart,Spleen,-1.22818418,53,TSS promoter CPM reciprocal marker-coherence gain
GallBladder,Spleen,-1.29251310,54,TSS promoter CPM reciprocal marker-coherence gain
Heart,Intestine,-1.30083292,55,TSS promoter CPM reciprocal marker-coherence gain
GallBladder,Liver,-1.34677842,56,TSS promoter CPM reciprocal marker-coherence gain
Bladder,Spleen,-1.36821271,57,TSS promoter CPM reciprocal marker-coherence gain
Cloaca,Liver,-1.39435303,58,TSS promoter CPM reciprocal marker-coherence gain
Intestine,Limb,-1.44553318,59,TSS promoter CPM reciprocal marker-coherence gain
Limb,Spleen,-1.47226300,60,TSS promoter CPM reciprocal marker-coherence gain
Kidney,Liver,-1.47305331,61,TSS promoter CPM reciprocal marker-coherence gain
Cloaca,Spleen,-1.54174909,62,TSS promoter CPM reciprocal marker-coherence gain
Gill,Intestine,-1.58313845,63,TSS promoter CPM reciprocal marker-coherence gain
Heart,Liver,-1.59470765,64,TSS promoter CPM reciprocal marker-coherence gain
Brain,Intestine,-1.62638787,65,TSS promoter CPM reciprocal marker-coherence gain
Brain,Prostate,-1.65050546,66,TSS promoter CPM reciprocal marker-coherence gain
Prostate,Spleen,-1.68071609,67,TSS promoter CPM reciprocal marker-coherence gain
Bladder,Liver,-1.68220417,68,TSS promoter CPM reciprocal marker-coherence gain
Gill,Spleen,-1.72423062,69,TSS promoter CPM reciprocal marker-coherence gain
Brain,Spleen,-1.75983559,70,TSS promoter CPM reciprocal marker-coherence gain
Intestine,Liver,-1.84760069,71,TSS promoter CPM reciprocal marker-coherence gain
Intestine,Prostate,-1.87461203,72,TSS promoter CPM reciprocal marker-coherence gain
Limb,Liver,-1.91999917,73,TSS promoter CPM reciprocal marker-coherence gain
Liver,Spleen,-1.95079577,74,TSS promoter CPM reciprocal marker-coherence gain
Pancreas,Stomach,-2.00348661,75,TSS promoter CPM reciprocal marker-coherence gain
Gill,Liver,-2.02072883,76,TSS promoter CPM reciprocal marker-coherence gain
Brain,Liver,-2.10270776,77,TSS promoter CPM reciprocal marker-coherence gain
GallBladder,Pancreas,-2.18317577,78,TSS promoter CPM reciprocal marker-coherence gain
Lung,Stomach,-2.23897513,79,TSS promoter CPM reciprocal marker-coherence gain
Kidney,Pancreas,-2.24168996,80,TSS promoter CPM reciprocal marker-coherence gain
Liver,Prostate,-2.27089108,81,TSS promoter CPM reciprocal marker-coherence gain
Cloaca,Pancreas,-2.35827699,82,TSS promoter CPM reciprocal marker-coherence gain
Intestine,Spleen,-2.35999426,83,TSS promoter CPM reciprocal marker-coherence gain
GallBladder,Lung,-2.39109047,84,TSS promoter CPM reciprocal marker-coherence gain
Bladder,Pancreas,-2.48320552,85,TSS promoter CPM reciprocal marker-coherence gain
Limb,Lung,-2.51991928,86,TSS promoter CPM reciprocal marker-coherence gain
Heart,Pancreas,-2.52350656,87,TSS promoter CPM reciprocal marker-coherence gain
Gill,Lung,-2.56665131,88,TSS promoter CPM reciprocal marker-coherence gain
Cloaca,Lung,-2.56734677,89,TSS promoter CPM reciprocal marker-coherence gain
Kidney,Lung,-2.70087242,90,TSS promoter CPM reciprocal marker-coherence gain
Limb,Pancreas,-2.75831688,91,TSS promoter CPM reciprocal marker-coherence gain
Brain,Pancreas,-2.77763233,92,TSS promoter CPM reciprocal marker-coherence gain
Bladder,Lung,-2.92246213,93,TSS promoter CPM reciprocal marker-coherence gain
Brain,Lung,-2.98453833,94,TSS promoter CPM reciprocal marker-coherence gain
Gill,Pancreas,-3.06662027,95,TSS promoter CPM reciprocal marker-coherence gain
