organ_a,organ_b,swap_score,rank,evidence_type
Cloaca,Stomach,1.252714595758,1,promoter-marker coherence gain; leave-one-marker-locus-out stability
GallBladder,Stomach,0.674759431453,2,promoter-marker coherence gain; leave-one-marker-locus-out stability
Bladder,Cloaca,0.595566075414,3,promoter-marker coherence gain; leave-one-marker-locus-out stability
Cloaca,GallBladder,0.510854292137,4,promoter-marker coherence gain; leave-one-marker-locus-out stability
Bladder,Stomach,0.258909468278,5,promoter-marker coherence gain; leave-one-marker-locus-out stability
Prostate,Stomach,0.194382756340,6,promoter-marker coherence gain; leave-one-marker-locus-out stability
Intestine,Stomach,0.170744063261,7,promoter-marker coherence gain; leave-one-marker-locus-out stability
Kidney,Stomach,0.170712618279,8,promoter-marker coherence gain; leave-one-marker-locus-out stability
Bladder,Gill,0.167836973735,9,promoter-marker coherence gain; leave-one-marker-locus-out stability
Bladder,GallBladder,0.140989638119,10,promoter-marker coherence gain; leave-one-marker-locus-out stability
Heart,Stomach,0.065739088899,11,promoter-marker coherence gain; leave-one-marker-locus-out stability
Gill,Kidney,0.058337438835,12,promoter-marker coherence gain; leave-one-marker-locus-out stability
Limb,Stomach,-0.007367222042,13,promoter-marker coherence gain; leave-one-marker-locus-out stability
Cloaca,Prostate,-0.030077466688,14,promoter-marker coherence gain; leave-one-marker-locus-out stability
GallBladder,Kidney,-0.070086653748,15,promoter-marker coherence gain; leave-one-marker-locus-out stability
Bladder,Limb,-0.085261906177,16,promoter-marker coherence gain; leave-one-marker-locus-out stability
Heart,Kidney,-0.106932031872,17,promoter-marker coherence gain; leave-one-marker-locus-out stability
Heart,Limb,-0.118098982704,18,promoter-marker coherence gain; leave-one-marker-locus-out stability
GallBladder,Gill,-0.152099998701,19,promoter-marker coherence gain; leave-one-marker-locus-out stability
Cloaca,Limb,-0.239595899833,20,promoter-marker coherence gain; leave-one-marker-locus-out stability
Bladder,Kidney,-0.276517950646,21,promoter-marker coherence gain; leave-one-marker-locus-out stability
Gill,Prostate,-0.328639107212,22,promoter-marker coherence gain; leave-one-marker-locus-out stability
GallBladder,Heart,-0.342502171580,23,promoter-marker coherence gain; leave-one-marker-locus-out stability
Cloaca,Kidney,-0.347876264713,24,promoter-marker coherence gain; leave-one-marker-locus-out stability
Cloaca,Gill,-0.370957042652,25,promoter-marker coherence gain; leave-one-marker-locus-out stability
Brain,Cloaca,-0.428497118876,26,promoter-marker coherence gain; leave-one-marker-locus-out stability
Brain,Stomach,-0.437705879215,27,promoter-marker coherence gain; leave-one-marker-locus-out stability
GallBladder,Limb,-0.454632953058,28,promoter-marker coherence gain; leave-one-marker-locus-out stability
Kidney,Limb,-0.477316074202,29,promoter-marker coherence gain; leave-one-marker-locus-out stability
Gill,Stomach,-0.545952406881,30,promoter-marker coherence gain; leave-one-marker-locus-out stability
Bladder,Prostate,-0.578855280482,31,promoter-marker coherence gain; leave-one-marker-locus-out stability
Cloaca,Heart,-0.629689652679,32,promoter-marker coherence gain; leave-one-marker-locus-out stability
GallBladder,Prostate,-0.643312043844,33,promoter-marker coherence gain; leave-one-marker-locus-out stability
Brain,GallBladder,-0.660760573460,34,promoter-marker coherence gain; leave-one-marker-locus-out stability
Bladder,Heart,-0.745828182710,35,promoter-marker coherence gain; leave-one-marker-locus-out stability
GallBladder,Intestine,-0.761232881846,36,promoter-marker coherence gain; leave-one-marker-locus-out stability
Brain,Kidney,-0.778021326957,37,promoter-marker coherence gain; leave-one-marker-locus-out stability
Gill,Heart,-0.818733830850,38,promoter-marker coherence gain; leave-one-marker-locus-out stability
Bladder,Brain,-0.831044151585,39,promoter-marker coherence gain; leave-one-marker-locus-out stability
Kidney,Prostate,-0.893118296575,40,promoter-marker coherence gain; leave-one-marker-locus-out stability
Gill,Limb,-0.898983584361,41,promoter-marker coherence gain; leave-one-marker-locus-out stability
