lag,association,n_observations
-20,-0.000005736062,138000
-19,-0.001955979461,138600
-18,-0.000493413035,139200
-17,0.001002128849,139800
-16,-0.001827598714,140400
-15,-0.000572997302,141000
-14,-0.003979859856,141600
-13,-0.000646561519,142200
-12,0.003622560405,142800
-11,-0.001559731920,143400
-10,-0.002507335742,144000
-9,-0.006580145098,144600
-8,0.003870350482,145200
-7,-0.000920952036,145800
-6,-0.001430348055,146400
-5,0.002508163757,147000
-4,-0.000400304436,147600
-3,0.004165201859,148200
-2,-0.002528698488,148800
-1,0.077843247723,149400
0,0.000668369540,150000
1,0.031616195508,149400
2,-0.005051575993,148800
3,-0.000073435741,148200
4,-0.000306022312,147600
5,-0.001803386036,147000
6,-0.002144340227,146400
7,0.000941496237,145800
8,-0.001233021077,145200
9,-0.001468980674,144600
10,-0.001418793451,144000
11,0.001702867320,143400
12,-0.004337718387,142800
13,-0.001235449813,142200
14,-0.001397305124,141600
15,-0.006581838447,141000
16,-0.001798441811,140400
17,-0.001192340155,139800
18,-0.002676396282,139200
19,-0.002252797597,138600
20,-0.004518612836,138000
