cell_id,n_timepoints,mean_distance_nm,contact_fraction,transcription_fraction
0,250,539.6308909897641,0.036,0.14
1,250,523.3101860305875,0.06,0.144
2,250,521.8826324932768,0.064,0.16
3,250,527.3013330755971,0.048,0.14
4,250,521.4769919324656,0.04,0.148
5,250,522.3226399867125,0.068,0.148
6,250,521.0448367903344,0.064,0.14
7,250,520.5519352565022,0.056,0.144
8,250,533.2095140140051,0.036,0.14
9,250,514.8438720144173,0.072,0.168
10,250,517.9287515025324,0.072,0.168
11,250,525.6235675040606,0.036,0.148
12,250,529.7753250299882,0.052,0.148
13,250,525.4730910496546,0.068,0.16
14,250,533.439384354989,0.064,0.144
15,250,521.1063563814589,0.064,0.1
16,250,523.3366771480553,0.064,0.148
17,250,539.2201985211638,0.04,0.152
18,250,517.9458762824617,0.08,0.18
19,250,531.2341435724964,0.044,0.172
20,250,534.9891897900072,0.04,0.184
21,250,510.64126323841896,0.08,0.176
22,250,535.1662269292481,0.056,0.176
23,250,535.2544614319838,0.044,0.184
24,250,527.4740288808473,0.064,0.164
25,250,528.6663301739648,0.048,0.188
26,250,528.7509695880675,0.052,0.136
27,250,519.668283772872,0.044,0.128
28,250,518.4401625168218,0.056,0.152
29,250,542.3128626465359,0.056,0.132
30,250,528.7618437339629,0.04,0.14
31,250,513.6739267802842,0.068,0.136
32,250,521.5989143886712,0.056,0.144
33,250,514.1112019320037,0.076,0.152
34,250,510.44606939499914,0.076,0.152
35,250,529.6944870189719,0.068,0.192
36,250,520.9377503302431,0.072,0.14
37,250,524.467963839419,0.06,0.12
38,250,532.4530282427709,0.052,0.148
39,250,523.4466856617487,0.052,0.128
40,250,543.7837559995162,0.04,0.152
41,250,534.0985830174058,0.06,0.144
42,250,505.8726039737494,0.06,0.152
43,250,523.7416364069529,0.076,0.152
44,250,525.8684892372777,0.064,0.124
45,250,533.9428379749166,0.016,0.144
46,250,533.4626035881531,0.064,0.14
47,250,533.7322731470741,0.056,0.172
48,250,536.1248974081146,0.06,0.14
49,250,521.3320536822553,0.06,0.172
50,250,517.1850908634848,0.068,0.172
51,250,522.9992236705546,0.056,0.14
52,250,527.6088015799178,0.048,0.152
53,250,530.5849034756039,0.052,0.18
54,250,548.3105441313108,0.048,0.148
55,250,516.4125255612605,0.06,0.108
56,250,532.7528575076022,0.052,0.156
57,250,522.8790196789906,0.064,0.164
58,250,531.1757350270461,0.036,0.128
59,250,525.9528543054938,0.048,0.152
60,250,536.906951992638,0.036,0.172
61,250,519.9238364663961,0.068,0.144
62,250,513.041247328525,0.056,0.14
63,250,531.7007140849225,0.048,0.156
64,250,518.0485979538895,0.052,0.144
65,250,530.401106792637,0.068,0.14
66,250,521.7598457944815,0.044,0.144
67,250,526.2583203109949,0.044,0.156
68,250,532.6548055879516,0.048,0.2
69,250,532.3115572447022,0.064,0.188
70,250,512.8974469343474,0.056,0.132
71,250,510.6102136990658,0.1,0.176
72,250,541.2416303769153,0.032,0.188
73,250,514.9844227321769,0.06,0.112
74,250,509.43007952059793,0.064,0.172
75,250,535.2450891381844,0.024,0.164
76,250,533.818979898473,0.052,0.16
77,250,520.7569591344966,0.048,0.16
78,250,529.3793918439068,0.064,0.14
79,250,514.4734129014514,0.06,0.184
80,250,538.9993041622695,0.064,0.164
81,250,525.9029200456356,0.084,0.188
82,250,537.4052297131007,0.012,0.136
83,250,523.2349438636672,0.072,0.164
84,250,519.0760416929858,0.048,0.156
85,250,531.9910025898121,0.06,0.132
86,250,524.3750208823758,0.048,0.144
87,250,521.198884185109,0.072,0.12
88,250,519.4142443731886,0.072,0.124
89,250,532.3022077578115,0.06,0.148
90,250,523.2406887310874,0.072,0.148
91,250,518.2359478923893,0.076,0.16
92,250,537.9210735715332,0.036,0.112
93,250,523.5670577917163,0.068,0.152
94,250,514.4885541439315,0.064,0.168
95,250,534.3659183377489,0.048,0.144
96,250,518.6634642192066,0.072,0.152
97,250,516.3373554367594,0.08,0.14
98,250,522.0498233980642,0.068,0.14
99,250,526.6842227090782,0.064,0.14
100,250,540.5126691935543,0.052,0.14
101,250,537.1779705769693,0.036,0.164
102,250,520.8616631024037,0.06,0.124
103,250,506.5869597102315,0.08,0.168
104,250,519.9748631668361,0.04,0.18
105,250,510.6637025167415,0.08,0.16
106,250,524.0194883024552,0.08,0.152
107,250,529.9652773145299,0.044,0.16
108,250,542.5615070595461,0.036,0.128
109,250,513.3789263713372,0.08,0.112
110,250,512.2671506065166,0.044,0.168
111,250,529.2859655854978,0.044,0.152
112,250,536.4074538448118,0.04,0.152
113,250,532.7265238805456,0.052,0.14
114,250,527.5417610518098,0.032,0.148
115,250,546.8094433521392,0.024,0.132
116,250,526.498602630717,0.04,0.196
117,250,534.0513407642617,0.072,0.128
118,250,540.8780663913832,0.032,0.18
119,250,527.6655552090477,0.036,0.168
120,250,521.0771208953099,0.096,0.188
121,250,526.0842596893435,0.06,0.132
122,250,538.6911580075689,0.04,0.172
123,250,511.3191501545098,0.064,0.14
124,250,521.6315890171423,0.044,0.172
125,250,537.1061316185418,0.036,0.12
126,250,520.7449468784175,0.076,0.124
127,250,529.4272741871681,0.044,0.136
128,250,515.5382886121006,0.084,0.136
129,250,516.6470020619731,0.064,0.168
130,250,522.6292809694822,0.06,0.132
