lag,association,n_observations
-20,-5.736062301863375e-06,138000
-19,-0.001955979461329924,138600
-18,-0.0004934130351408774,139200
-17,0.0010021288492960715,139800
-16,-0.0018275987141657432,140400
-15,-0.0005729973020806967,141000
-14,-0.003979859856268117,141600
-13,-0.0006465615186546119,142200
-12,0.00362256040494137,142800
-11,-0.0015597319198372662,143400
-10,-0.0025073357420767653,144000
-9,-0.0065801450984034286,144600
-8,0.0038703504822417893,145200
-7,-0.0009209520358028922,145800
-6,-0.0014303480546959265,146400
-5,0.002508163757220433,147000
-4,-0.0004003044361600855,147600
-3,0.004165201858854026,148200
-2,-0.0025286984884220587,148800
-1,0.07784324772318547,149400
0,0.0006683695404363762,150000
1,0.03161619550775842,149400
2,-0.005051575992501429,148800
3,-7.343574057704242e-05,148200
4,-0.00030602231186327157,147600
5,-0.0018033860360983803,147000
6,-0.0021443402274412974,146400
7,0.0009414962365045123,145800
8,-0.0012330210766356507,145200
9,-0.0014689806742010404,144600
10,-0.0014187934510048628,144000
11,0.0017028673196552878,143400
12,-0.004337718386993142,142800
13,-0.0012354498133661167,142200
14,-0.001397305123575572,141600
15,-0.006581838446862069,141000
16,-0.0017984418109930707,140400
17,-0.0011923401546395753,139800
18,-0.002676396281645611,139200
19,-0.002252797596842186,138600
20,-0.004518612835736859,138000
