gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,passes,direction
ENSG00000119125,GDA,2812.7648594843777,1.2759657341499553,0.08675448292813459,14.707778677061976,5.7462893739668155e-49,7.748296591856854e-45,True,up
ENSG00000063438,AHRR,910.1184582485733,2.1262681482462567,0.1878162303597788,11.321003217736825,1.0328313667334288e-29,6.963349074516777e-26,True,up
ENSG00000184254,ALDH1A3,19003.42675269104,1.6177860595217652,0.1442548699688655,11.214776040981715,3.4505876472095673e-29,1.5509241278324603e-25,True,up
ENSG00000153292,ADGRF1,5268.939415509652,0.8328782055847547,0.0781025607814677,10.66390393927239,1.501590202400812e-26,5.061860572293137e-23,True,up
ENSG00000140465,CYP1A1,297.971688210785,2.0320635136396348,0.20246367066160836,10.036682171173139,1.0515157910027364e-23,2.83572778517618e-20,True,up
ENSG00000185551,NR2F2,2535.5343552319428,0.969983390908609,0.09820839207492264,9.876787211510539,5.248881245526239e-23,1.1795985785779302e-19,True,up
ENSG00000166949,SMAD3,6170.436154995405,0.7466467233023149,0.08258006108436892,9.041489113691672,1.5455185610812906e-19,2.9771103253743034e-16,True,up
ENSG00000186352,ANKRD37,125.65949841093887,-1.996261584397871,0.23127798336131394,-8.631438044317482,6.058537722103866e-18,1.0211665330606066e-14,True,down
ENSG00000124762,CDKN1A,9963.567681649138,1.1988378576757874,0.13912014809675752,8.617284225732712,6.8560798882527034e-18,1.027193124591105e-14,True,up
ENSG00000161513,FDXR,2653.526803608362,0.7863537929007057,0.09193414128177264,8.55344686899917,1.1946629841697738e-17,1.6108835678545232e-14,True,up
ENSG00000251095,ENSG00000251095,332.73701857247147,1.3342086536391913,0.158305392849106,8.428068239664686,3.514181219364636e-17,4.3077472329011586e-14,True,up
ENSG00000177494,ZBED2,383.04720392148033,1.2229901419699785,0.1486256637640905,8.228660589272105,1.8931837105124572e-16,2.1273074293791646e-13,True,up
ENSG00000026103,FAS,489.94879054568764,1.1469615427284172,0.14064371923148125,8.155085410111118,3.48933198351424e-16,3.619242497362001e-13,True,up
ENSG00000159388,BTG2,1259.3965530406006,0.7842136310608141,0.0964115942680862,8.134017874242346,4.1529127689155987e-16,3.9998482697184236e-13,True,up
ENSG00000182795,C1orf116,1335.1104637520386,0.7887119025667135,0.09777794482410226,8.066357950001583,7.24262608938094e-16,6.510638012614172e-13,True,up
ENSG00000129474,AJUBA,1113.119361756884,0.8757953773218934,0.11132349238731447,7.867120933242407,3.6289580765449644e-15,3.058304419008269e-12,True,up
ENSG00000175197,DDIT3,365.0958715518245,-1.2317587513025767,0.1570142949325277,-7.844882861346408,4.333578084905624e-15,3.4372921704039662e-12,True,down
ENSG00000164938,TP53INP1,1288.3514702187242,0.8627333543262091,0.112120490163363,7.694698382687947,1.4182833497323024e-14,1.0624518159883537e-11,True,up
ENSG00000172667,ZMAT3,1323.7311124528132,0.9432288315890334,0.12313064258061843,7.66039071851237,1.853682641093803e-14,1.3155293017109916e-11,True,up
ENSG00000196562,SULF2,356.9404342693767,1.456492384542179,0.19147366909635047,7.606750272327341,2.8107366195758002e-14,1.8949986289180046e-11,True,up
ENSG00000126368,NR1D1,2305.9153377682424,-1.0088680242521708,0.13531097927806818,-7.455921386681537,8.924194690445701e-14,5.730182914569992e-11,True,down
ENSG00000170345,FOS,309.3717165660791,-1.5534422150230496,0.21267792154535864,-7.3042006604890615,2.7891986971413783e-13,1.709525237829743e-10,True,down
ENSG00000087074,PPP1R15A,1963.9420724754382,-0.6464683303048685,0.08881984335546607,-7.278422319634547,3.377466166799454e-13,1.9800762518749495e-10,True,down
ENSG00000180921,FAM83H,4434.004102445295,0.7016378797433451,0.09707614824159203,7.227706212623816,4.912199273614672e-13,2.75983729189251e-10,True,up
ENSG00000169499,PLEKHA2,971.5237681568277,-0.7527752481524651,0.1044522537799383,-7.206883728314988,5.724684444194886e-13,3.0876658018209536e-10,True,down
ENSG00000164543,STK17A,643.7133738179016,0.7771614791645676,0.10832142265750153,7.174587077035101,7.252574916605804e-13,3.76129692982741e-10,True,up
ENSG00000142910,TINAGL1,3507.3531591995684,0.7130585112871446,0.0997196278498708,7.150633497756965,8.637833126517547e-13,4.313797847331948e-10,True,up
ENSG00000087088,BAX,1210.3362643100584,0.8113043858923815,0.11375160827689483,7.132245408939623,9.874461056388011e-13,4.755258317297712e-10,True,up
ENSG00000107796,ACTA2,272.4458320563245,1.1188049016517783,0.15818799174404366,7.072628518238364,1.5202607293805684e-12,7.068688163781926e-10,True,up
ENSG00000185088,RPS27L,1150.552531186179,0.8264390022786605,0.1171848411477515,7.052439498011966,1.7580786477025286e-12,7.901977495206965e-10,True,up
ENSG00000135932,CAB39,2907.5844520060696,0.6353671957805738,0.09035411608581054,7.031967366900662,2.03641438631386e-12,8.857745672598738e-10,True,up
ENSG00000197852,INKA2,218.84701394349892,1.2759034777370324,0.18298960795425745,6.97254610248673,3.1125560932554863e-12,1.3115533237955306e-09,True,up
ENSG00000182319,,2417.1395175076227,0.7384539941963947,0.10840301111025082,6.81211699410594,9.617284114195974e-12,3.929680575630864e-09,True,up
ENSG00000181026,AEN,1600.7672031303564,0.608031688676514,0.08992850359378114,6.761278842390984,1.3677898459865292e-11,5.424493612730106e-09,True,up
ENSG00000178038,ALS2CL,1303.722382352176,0.6345859282972849,0.09456443350840887,6.710619466047518,1.9379990364509757e-11,7.466279716429988e-09,True,up
ENSG00000179094,PER1,4059.839069163008,-0.583404304883559,0.08706105685213746,-6.701093760834994,2.0686524862112697e-11,7.748252812242434e-09,True,down
ENSG00000114812,VIPR1,244.45587184225238,1.0428643486802591,0.15599601152243414,6.685198797728765,2.3061137248283947e-11,8.40422634205029e-09,True,up
ENSG00000206075,SERPINB5,1152.8490795142109,0.7527835962551579,0.11369139006289922,6.621289403170143,3.560790534559129e-11,1.2635184096840868e-08,True,up
ENSG00000091428,RAPGEF4,73.72204389965948,-1.9237386565241708,0.29292773308311865,-6.567280729197147,5.124238696545442e-11,1.7716726816466342e-08,True,down
ENSG00000103044,HAS3,6941.74369950597,0.8120611403409298,0.12404048152648857,6.546742888671517,5.880547478849649e-11,1.9823325551202167e-08,True,up
ENSG00000188549,CCDC9B,897.5112106868122,0.8829620163555493,0.13563415416925662,6.509879622603825,7.521105178581238e-11,2.4735263958046198e-08,True,up
ENSG00000150347,ARID5B,158.05753135254616,-1.2049077904683132,0.18752095666008273,-6.425456716565482,1.3147417251062642e-10,4.220947005079254e-08,True,down
