analysis_set,query_gene_count,gene_set,term,pathway,reactome_id,overlap,p_value,adjusted_p_value,odds_ratio,combined_score,overlap_genes,significant
all_passing,282,Reactome_2022.gmt,TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312,TP53 Regulates Transcription Of Cell Cycle Genes,R-HSA-6791312,8/49,4.2776601030251256e-05,0.0377289621086816,7.585774793161718,76.3092480114133,BAX;BTG2;CCNE1;CCNE2;CDKN1A;PCNA;PLK2;RGCC,True
all_passing,282,Reactome_2022.gmt,TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008,TP53 Regulates Transcription Of Cell Death Genes,R-HSA-5633008,7/44,0.00015389793527791323,0.06786898945755973,7.383303085299455,64.81964900267576,BAX;FASN;IGFBP3;TNFRSF10C;TP53I3;TP53INP1;TRIAP1,False
all_passing,282,Reactome_2022.gmt,Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787,Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects,R-HSA-9659787,4/17,0.0009229546123975354,0.2526155511158977,12.201675643327349,85.26446136289834,CCNE1;CCNE2;CDKN1A;CDKN1C,False
all_passing,282,Reactome_2022.gmt,Transcriptional Regulation By TP53 R-HSA-3700989,Transcriptional Regulation By TP53,R-HSA-3700989,20/354,0.0013996646439300947,0.2526155511158977,2.3051519681116095,15.148358280478995,BAX;BTG2;CCNE1;CCNE2;CDKN1A;DDB2;FASN;FOS;IGFBP3;PCNA;PLK2;PRKAA2;RGCC;RRM2B;TAF9B;TIGAR;TNFRSF10C;TP53I3;TP53INP1;TRIAP1,False
all_passing,282,Reactome_2022.gmt,CHL1 Interactions R-HSA-447041,CHL1 Interactions,R-HSA-447041,3/9,0.0014320609473690345,0.2526155511158977,19.653364524563095,128.70282184145447,ANK1;ITGA2;NRP1,False
all_passing,282,Reactome_2022.gmt,Presynaptic Depolarization And Calcium Channel Opening R-HSA-112308,Presynaptic Depolarization And Calcium Channel Opening,R-HSA-112308,3/12,0.003532518294823255,0.4128215566312827,13.443084455324357,75.89621695972585,CACNA1A;CACNB1;CACNB4,False
all_passing,282,Reactome_2022.gmt,TP53 Regulates Transcription Of Death Receptors And Ligands R-HSA-6803211,TP53 Regulates Transcription Of Death Receptors And Ligands,R-HSA-6803211,3/12,0.003532518294823255,0.4128215566312827,13.443084455324357,75.89621695972585,FASN;IGFBP3;TNFRSF10C,False
all_passing,282,Reactome_2022.gmt,Metabolism Of Nucleotides R-HSA-15869,Metabolism Of Nucleotides,R-HSA-15869,8/95,0.003979683110276695,0.4128215566312827,3.581545667447307,19.79360225173003,ADSS1;AK4;CDA;CTPS1;GDA;GLRX;RRM2B;UPP1,False
all_passing,282,Reactome_2022.gmt,Activation Of Arylsulfatases R-HSA-1663150,Activation Of Arylsulfatases,R-HSA-1663150,3/13,0.004501712930504,0.4128215566312827,12.16159809183065,65.71273017476967,ARSA;ARSD;ARSJ,False
all_passing,282,Reactome_2022.gmt,Metabolism R-HSA-1430728,Metabolism,R-HSA-1430728,73/2049,0.005011040975992139,0.4128215566312827,1.4611186211251899,7.738247286834588,ABCC2;ACER2;ADSS1;AHRR;AK4;ANGPTL4;ARSA;ARSD;ARSJ;B3GALT6;B3GNT4;CA12;CA2;CACNA1A;CARNS1;CDA;CES2;CHPF2;CTPS1;CYP1A1;CYP1B1;DECR2;FA2H;FADS2;FASN;FDXR;FHL2;FUT11;GBE1;GDA;GLRX;GPAT3;GYS1;HAS3;HILPDA;IDUA;INPP1;INPP5D;INSIG1;INSIG2;ISCU;ITPKA;MBOAT1;MOCOS;NR1D1;OPLAH;PARP16;PDK3;PGM2L1;PI4K2A;PIK3R3;PLCE1;PLEKHA2;PPM1K;PRKAA2;PRODH;RAPGEF4;RPS27L;RRM2B;SCD;SDC1;SGMS2;SH2D3C;SLC2A3;SLC37A2;SLC44A5;TINAGL1;TMEM186;TNFRSF21;UPP1;UROS;VKORC1;XYLT1,False
