step,source,destination,volume_uL,pipette,tip_policy
lysis:A1,reagents:A1,processing_plate:A1,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:B1,reagents:A1,processing_plate:B1,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:C1,reagents:A1,processing_plate:C1,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:D1,reagents:A1,processing_plate:D1,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:A2,reagents:A1,processing_plate:A2,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:B2,reagents:A1,processing_plate:B2,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:C2,reagents:A1,processing_plate:C2,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:D2,reagents:A1,processing_plate:D2,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:A3,reagents:A1,processing_plate:A3,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:B3,reagents:A1,processing_plate:B3,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:C3,reagents:A1,processing_plate:C3,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:D3,reagents:A1,processing_plate:D3,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:A4,reagents:A1,processing_plate:A4,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:B4,reagents:A1,processing_plate:B4,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:C4,reagents:A1,processing_plate:C4,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:D4,reagents:A1,processing_plate:D4,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:A5,reagents:A1,processing_plate:A5,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:B5,reagents:A1,processing_plate:B5,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:C5,reagents:A1,processing_plate:C5,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:D5,reagents:A1,processing_plate:D5,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:A6,reagents:A1,processing_plate:A6,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:B6,reagents:A1,processing_plate:B6,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:C6,reagents:A1,processing_plate:C6,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
lysis:D6,reagents:A1,processing_plate:D6,80,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
beads:A1,reagents:A2,processing_plate:A1,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:B1,reagents:A2,processing_plate:B1,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:C1,reagents:A2,processing_plate:C1,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:D1,reagents:A2,processing_plate:D1,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:A2,reagents:A2,processing_plate:A2,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:B2,reagents:A2,processing_plate:B2,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:C2,reagents:A2,processing_plate:C2,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:D2,reagents:A2,processing_plate:D2,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:A3,reagents:A2,processing_plate:A3,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:B3,reagents:A2,processing_plate:B3,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:C3,reagents:A2,processing_plate:C3,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:D3,reagents:A2,processing_plate:D3,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:A4,reagents:A2,processing_plate:A4,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:B4,reagents:A2,processing_plate:B4,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:C4,reagents:A2,processing_plate:C4,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:D4,reagents:A2,processing_plate:D4,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:A5,reagents:A2,processing_plate:A5,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:B5,reagents:A2,processing_plate:B5,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:C5,reagents:A2,processing_plate:C5,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:D5,reagents:A2,processing_plate:D5,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:A6,reagents:A2,processing_plate:A6,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:B6,reagents:A2,processing_plate:B6,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:C6,reagents:A2,processing_plate:C6,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
beads:D6,reagents:A2,processing_plate:D6,120,p300_single_gen2,fresh_tip;resuspend_source_then_add_and_mix_same_sample;discard
supernatant:A1,processing_plate:A1,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:B1,processing_plate:B1,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:C1,processing_plate:C1,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:D1,processing_plate:D1,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:A2,processing_plate:A2,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:B2,processing_plate:B2,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:C2,processing_plate:C2,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:D2,processing_plate:D2,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:A3,processing_plate:A3,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:B3,processing_plate:B3,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:C3,processing_plate:C3,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:D3,processing_plate:D3,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:A4,processing_plate:A4,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:B4,processing_plate:B4,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:C4,processing_plate:C4,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:D4,processing_plate:D4,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:A5,processing_plate:A5,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:B5,processing_plate:B5,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:C5,processing_plate:C5,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:D5,processing_plate:D5,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:A6,processing_plate:A6,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:B6,processing_plate:B6,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:C6,processing_plate:C6,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
supernatant:D6,processing_plate:D6,liquid_waste:A1,250,p300_single_gen2,fresh_tip;remove_same_sample;discard
wash1_add:A1,reagents:A3,processing_plate:A1,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:A1,processing_plate:A1,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:B1,reagents:A3,processing_plate:B1,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:B1,processing_plate:B1,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:C1,reagents:A3,processing_plate:C1,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:C1,processing_plate:C1,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:D1,reagents:A3,processing_plate:D1,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:D1,processing_plate:D1,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:A2,reagents:A3,processing_plate:A2,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:A2,processing_plate:A2,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:B2,reagents:A3,processing_plate:B2,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:B2,processing_plate:B2,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:C2,reagents:A3,processing_plate:C2,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:C2,processing_plate:C2,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:D2,reagents:A3,processing_plate:D2,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:D2,processing_plate:D2,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:A3,reagents:A3,processing_plate:A3,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:A3,processing_plate:A3,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:B3,reagents:A3,processing_plate:B3,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:B3,processing_plate:B3,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:C3,reagents:A3,processing_plate:C3,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:C3,processing_plate:C3,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:D3,reagents:A3,processing_plate:D3,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:D3,processing_plate:D3,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:A4,reagents:A3,processing_plate:A4,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:A4,processing_plate:A4,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:B4,reagents:A3,processing_plate:B4,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:B4,processing_plate:B4,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:C4,reagents:A3,processing_plate:C4,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:C4,processing_plate:C4,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:D4,reagents:A3,processing_plate:D4,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:D4,processing_plate:D4,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:A5,reagents:A3,processing_plate:A5,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:A5,processing_plate:A5,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:B5,reagents:A3,processing_plate:B5,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:B5,processing_plate:B5,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:C5,reagents:A3,processing_plate:C5,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:C5,processing_plate:C5,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:D5,reagents:A3,processing_plate:D5,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:D5,processing_plate:D5,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:A6,reagents:A3,processing_plate:A6,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:A6,processing_plate:A6,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:B6,reagents:A3,processing_plate:B6,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:B6,processing_plate:B6,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:C6,reagents:A3,processing_plate:C6,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:C6,processing_plate:C6,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash1_add:D6,reagents:A3,processing_plate:D6,180,p300_single_gen2,fresh_tip;retain_for_wash1_remove_same_sample
wash1_remove:D6,processing_plate:D6,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash1_tip_same_sample;discard
wash2_add:A1,reagents:A3,processing_plate:A1,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:A1,processing_plate:A1,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:B1,reagents:A3,processing_plate:B1,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:B1,processing_plate:B1,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:C1,reagents:A3,processing_plate:C1,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:C1,processing_plate:C1,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:D1,reagents:A3,processing_plate:D1,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:D1,processing_plate:D1,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:A2,reagents:A3,processing_plate:A2,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:A2,processing_plate:A2,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:B2,reagents:A3,processing_plate:B2,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:B2,processing_plate:B2,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:C2,reagents:A3,processing_plate:C2,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:C2,processing_plate:C2,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:D2,reagents:A3,processing_plate:D2,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:D2,processing_plate:D2,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:A3,reagents:A3,processing_plate:A3,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:A3,processing_plate:A3,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:B3,reagents:A3,processing_plate:B3,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:B3,processing_plate:B3,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:C3,reagents:A3,processing_plate:C3,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:C3,processing_plate:C3,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:D3,reagents:A3,processing_plate:D3,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:D3,processing_plate:D3,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:A4,reagents:A3,processing_plate:A4,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:A4,processing_plate:A4,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:B4,reagents:A3,processing_plate:B4,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:B4,processing_plate:B4,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:C4,reagents:A3,processing_plate:C4,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:C4,processing_plate:C4,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:D4,reagents:A3,processing_plate:D4,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:D4,processing_plate:D4,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:A5,reagents:A3,processing_plate:A5,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:A5,processing_plate:A5,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:B5,reagents:A3,processing_plate:B5,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:B5,processing_plate:B5,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:C5,reagents:A3,processing_plate:C5,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:C5,processing_plate:C5,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:D5,reagents:A3,processing_plate:D5,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:D5,processing_plate:D5,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:A6,reagents:A3,processing_plate:A6,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:A6,processing_plate:A6,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:B6,reagents:A3,processing_plate:B6,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:B6,processing_plate:B6,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:C6,reagents:A3,processing_plate:C6,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:C6,processing_plate:C6,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
wash2_add:D6,reagents:A3,processing_plate:D6,180,p300_single_gen2,fresh_tip;retain_for_wash2_remove_same_sample
wash2_remove:D6,processing_plate:D6,liquid_waste:A1,180,p300_single_gen2,reuse_attached_wash2_tip_same_sample;discard
elution:A1,reagents:A4,processing_plate:A1,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:B1,reagents:A4,processing_plate:B1,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:C1,reagents:A4,processing_plate:C1,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:D1,reagents:A4,processing_plate:D1,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:A2,reagents:A4,processing_plate:A2,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:B2,reagents:A4,processing_plate:B2,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:C2,reagents:A4,processing_plate:C2,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:D2,reagents:A4,processing_plate:D2,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:A3,reagents:A4,processing_plate:A3,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:B3,reagents:A4,processing_plate:B3,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:C3,reagents:A4,processing_plate:C3,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:D3,reagents:A4,processing_plate:D3,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:A4,reagents:A4,processing_plate:A4,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:B4,reagents:A4,processing_plate:B4,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:C4,reagents:A4,processing_plate:C4,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:D4,reagents:A4,processing_plate:D4,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:A5,reagents:A4,processing_plate:A5,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:B5,reagents:A4,processing_plate:B5,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:C5,reagents:A4,processing_plate:C5,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:D5,reagents:A4,processing_plate:D5,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:A6,reagents:A4,processing_plate:A6,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:B6,reagents:A4,processing_plate:B6,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:C6,reagents:A4,processing_plate:C6,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard
elution:D6,reagents:A4,processing_plate:D6,40,p300_single_gen2,fresh_tip;add_then_mix_same_sample;discard

