organ_a,organ_b,swap_score,rank,evidence_type
Cloaca,Stomach,1.311153,1,promoter_accessibility+organ_marker_coherence
Bladder,Stomach,0.717729,2,promoter_accessibility+organ_marker_coherence
Gill,Lung,0.304659,3,promoter_accessibility+organ_marker_coherence
GallBladder,Stomach,0.303120,4,promoter_accessibility+organ_marker_coherence
Prostate,Stomach,0.266453,5,promoter_accessibility+organ_marker_coherence
Gill,Heart,0.111797,6,promoter_accessibility+organ_marker_coherence
Limb,Stomach,0.100454,7,promoter_accessibility+organ_marker_coherence
Bladder,Prostate,0.089639,8,promoter_accessibility+organ_marker_coherence
Heart,Stomach,0.075954,9,promoter_accessibility+organ_marker_coherence
GallBladder,Prostate,0.062100,10,promoter_accessibility+organ_marker_coherence
Gill,Stomach,0.020322,11,promoter_accessibility+organ_marker_coherence
Bladder,GallBladder,-0.016783,12,promoter_accessibility+organ_marker_coherence
Cloaca,Gill,-0.018165,13,promoter_accessibility+organ_marker_coherence
Intestine,Stomach,-0.029694,14,promoter_accessibility+organ_marker_coherence
Lung,Stomach,-0.052406,15,promoter_accessibility+organ_marker_coherence
GallBladder,Intestine,-0.087073,16,promoter_accessibility+organ_marker_coherence
Gill,Spleen,-0.088959,17,promoter_accessibility+organ_marker_coherence
Cloaca,Intestine,-0.110769,18,promoter_accessibility+organ_marker_coherence
Cloaca,Prostate,-0.137749,19,promoter_accessibility+organ_marker_coherence
Kidney,Prostate,-0.157019,20,promoter_accessibility+organ_marker_coherence
Intestine,Kidney,-0.201634,21,promoter_accessibility+organ_marker_coherence
Bladder,Limb,-0.201979,22,promoter_accessibility+organ_marker_coherence
Kidney,Stomach,-0.221214,23,promoter_accessibility+organ_marker_coherence
Gill,Prostate,-0.265617,24,promoter_accessibility+organ_marker_coherence
Bladder,Intestine,-0.278843,25,promoter_accessibility+organ_marker_coherence
Limb,Prostate,-0.288056,26,promoter_accessibility+organ_marker_coherence
GallBladder,Lung,-0.301664,27,promoter_accessibility+organ_marker_coherence
Cloaca,GallBladder,-0.315881,28,promoter_accessibility+organ_marker_coherence
Cloaca,Limb,-0.376435,29,promoter_accessibility+organ_marker_coherence
Intestine,Limb,-0.376753,30,promoter_accessibility+organ_marker_coherence
Heart,Kidney,-0.377818,31,promoter_accessibility+organ_marker_coherence
Cloaca,Lung,-0.382022,32,promoter_accessibility+organ_marker_coherence
Gill,Kidney,-0.400253,33,promoter_accessibility+organ_marker_coherence
Bladder,Gill,-0.402791,34,promoter_accessibility+organ_marker_coherence
Limb,Lung,-0.404630,35,promoter_accessibility+organ_marker_coherence
Brain,Heart,-0.425131,36,promoter_accessibility+organ_marker_coherence
Heart,Limb,-0.425316,37,promoter_accessibility+organ_marker_coherence
Gill,Limb,-0.432558,38,promoter_accessibility+organ_marker_coherence
Kidney,Limb,-0.457844,39,promoter_accessibility+organ_marker_coherence
Heart,Lung,-0.504991,40,promoter_accessibility+organ_marker_coherence
GallBladder,Limb,-0.505402,41,promoter_accessibility+organ_marker_coherence
Liver,Stomach,-0.506853,42,promoter_accessibility+organ_marker_coherence
Gill,Intestine,-0.522722,43,promoter_accessibility+organ_marker_coherence
Cloaca,Kidney,-0.536253,44,promoter_accessibility+organ_marker_coherence
GallBladder,Kidney,-0.547237,45,promoter_accessibility+organ_marker_coherence
Spleen,Stomach,-0.559095,46,promoter_accessibility+organ_marker_coherence
Heart,Intestine,-0.560697,47,promoter_accessibility+organ_marker_coherence
Intestine,Prostate,-0.574969,48,promoter_accessibility+organ_marker_coherence
Bladder,Cloaca,-0.598427,49,promoter_accessibility+organ_marker_coherence
Brain,Prostate,-0.614862,50,promoter_accessibility+organ_marker_coherence
Kidney,Lung,-0.618341,51,promoter_accessibility+organ_marker_coherence
Pancreas,Stomach,-0.630624,52,promoter_accessibility+organ_marker_coherence
Bladder,Kidney,-0.656427,53,promoter_accessibility+organ_marker_coherence
Brain,Stomach,-0.668457,54,promoter_accessibility+organ_marker_coherence
Brain,Gill,-0.701758,55,promoter_accessibility+organ_marker_coherence
GallBladder,Pancreas,-0.710311,56,promoter_accessibility+organ_marker_coherence
Kidney,Pancreas,-0.730776,57,promoter_accessibility+organ_marker_coherence
Gill,Liver,-0.736638,58,promoter_accessibility+organ_marker_coherence
Heart,Prostate,-0.750776,59,promoter_accessibility+organ_marker_coherence
Brain,Limb,-0.760954,60,promoter_accessibility+organ_marker_coherence
Brain,Cloaca,-0.827936,61,promoter_accessibility+organ_marker_coherence
Intestine,Pancreas,-0.834302,62,promoter_accessibility+organ_marker_coherence
Lung,Pancreas,-0.836686,63,promoter_accessibility+organ_marker_coherence
Heart,Spleen,-0.846019,64,promoter_accessibility+organ_marker_coherence
Intestine,Lung,-0.877759,65,promoter_accessibility+organ_marker_coherence
Kidney,Spleen,-0.903098,66,promoter_accessibility+organ_marker_coherence
Liver,Lung,-0.918133,67,promoter_accessibility+organ_marker_coherence
GallBladder,Liver,-0.934817,68,promoter_accessibility+organ_marker_coherence
Limb,Pancreas,-0.941941,69,promoter_accessibility+organ_marker_coherence
Liver,Pancreas,-0.945689,70,promoter_accessibility+organ_marker_coherence
Brain,Lung,-0.949933,71,promoter_accessibility+organ_marker_coherence
Intestine,Liver,-0.970165,72,promoter_accessibility+organ_marker_coherence
Heart,Pancreas,-0.970823,73,promoter_accessibility+organ_marker_coherence
Cloaca,Pancreas,-1.004162,74,promoter_accessibility+organ_marker_coherence
Prostate,Spleen,-1.007178,75,promoter_accessibility+organ_marker_coherence
Cloaca,Heart,-1.010016,76,promoter_accessibility+organ_marker_coherence
Bladder,Spleen,-1.020011,77,promoter_accessibility+organ_marker_coherence
Intestine,Spleen,-1.024691,78,promoter_accessibility+organ_marker_coherence
Pancreas,Prostate,-1.029835,79,promoter_accessibility+organ_marker_coherence
GallBladder,Heart,-1.047545,80,promoter_accessibility+organ_marker_coherence
Brain,Intestine,-1.050322,81,promoter_accessibility+organ_marker_coherence
Brain,Pancreas,-1.063742,82,promoter_accessibility+organ_marker_coherence
Bladder,Brain,-1.075379,83,promoter_accessibility+organ_marker_coherence
Limb,Liver,-1.082921,84,promoter_accessibility+organ_marker_coherence
GallBladder,Gill,-1.094410,85,promoter_accessibility+organ_marker_coherence
Brain,Kidney,-1.114383,86,promoter_accessibility+organ_marker_coherence
Cloaca,Liver,-1.127896,87,promoter_accessibility+organ_marker_coherence
Lung,Prostate,-1.146680,88,promoter_accessibility+organ_marker_coherence
Limb,Spleen,-1.150332,89,promoter_accessibility+organ_marker_coherence
Bladder,Heart,-1.177202,90,promoter_accessibility+organ_marker_coherence
Gill,Pancreas,-1.199568,91,promoter_accessibility+organ_marker_coherence
Lung,Spleen,-1.222876,92,promoter_accessibility+organ_marker_coherence
Brain,GallBladder,-1.231856,93,promoter_accessibility+organ_marker_coherence
Bladder,Lung,-1.233339,94,promoter_accessibility+organ_marker_coherence
Heart,Liver,-1.254962,95,promoter_accessibility+organ_marker_coherence
Kidney,Liver,-1.287876,96,promoter_accessibility+organ_marker_coherence
Pancreas,Spleen,-1.302215,97,promoter_accessibility+organ_marker_coherence
Liver,Prostate,-1.314194,98,promoter_accessibility+organ_marker_coherence
Brain,Liver,-1.340215,99,promoter_accessibility+organ_marker_coherence
