organ_a,organ_b,swap_score,rank,evidence_type
Cloaca,Stomach,1.857200,1,promoter_accessibility+marker_coherence+hallmark_genes
Prostate,Stomach,1.149100,2,promoter_accessibility+marker_coherence
Bladder,Stomach,0.986300,3,promoter_accessibility+marker_coherence
Limb,Stomach,0.863600,4,promoter_accessibility+marker_coherence
Gill,Stomach,0.743600,5,promoter_accessibility+marker_coherence
Bladder,Cloaca,0.730000,6,promoter_accessibility+marker_coherence
Cloaca,GallBladder,0.650000,7,promoter_accessibility+marker_coherence
Cloaca,Gill,0.540000,8,promoter_accessibility+marker_coherence
Limb,Prostate,0.397300,9,promoter_accessibility+marker_coherence
GallBladder,Stomach,0.393600,10,promoter_accessibility+marker_coherence
Bladder,Prostate,0.385500,11,promoter_accessibility+marker_coherence
Bladder,Gill,0.350000,12,promoter_accessibility+marker_coherence
Cloaca,Limb,0.320000,13,promoter_accessibility+marker_coherence
Cloaca,Prostate,0.243600,14,promoter_accessibility+marker_coherence
Intestine,Stomach,0.203600,15,promoter_accessibility+marker_coherence
GallBladder,Gill,0.200000,16,promoter_accessibility+marker_coherence
Gill,Prostate,0.195500,17,promoter_accessibility+marker_coherence
GallBladder,Prostate,0.028200,18,promoter_accessibility+marker_coherence
Gill,Limb,-0.080000,19,promoter_accessibility+marker_coherence
Bladder,Limb,-0.120000,20,promoter_accessibility+marker_coherence
Lung,Prostate,-0.237300,21,promoter_accessibility+marker_coherence
Lung,Stomach,-0.311800,22,promoter_accessibility+marker_coherence
GallBladder,Intestine,-0.370000,23,promoter_accessibility+marker_coherence
Gill,Lung,-0.400000,24,promoter_accessibility+marker_coherence
Cloaca,Heart,-0.410000,25,promoter_accessibility+marker_coherence
Heart,Limb,-0.460000,26,promoter_accessibility+marker_coherence
Bladder,GallBladder,-0.460000,27,promoter_accessibility+marker_coherence
Pancreas,Stomach,-0.495500,28,promoter_accessibility+marker_coherence
GallBladder,Kidney,-0.600000,29,promoter_accessibility+marker_coherence
Heart,Stomach,-0.659100,30,promoter_accessibility+marker_coherence
Gill,Heart,-0.690000,31,promoter_accessibility+marker_coherence
Bladder,Intestine,-0.740000,32,promoter_accessibility+marker_coherence
Cloaca,Lung,-0.770000,33,promoter_accessibility+marker_coherence
GallBladder,Pancreas,-0.840000,34,promoter_accessibility+marker_coherence
Cloaca,Intestine,-0.850000,35,promoter_accessibility+marker_coherence
