cell_id,n_timepoints,mean_distance_nm,contact_fraction,transcription_fraction
0,250,539.630891,0.036,0.14
1,250,523.310186,0.06,0.144
2,250,521.882632,0.064,0.16
3,250,527.301333,0.048,0.14
4,250,521.476992,0.04,0.148
5,250,522.32264,0.068,0.148
6,250,521.044837,0.064,0.14
7,250,520.551935,0.056,0.144
8,250,533.209514,0.036,0.14
9,250,514.843872,0.072,0.168
10,250,517.928752,0.072,0.168
11,250,525.623568,0.036,0.148
12,250,529.775325,0.052,0.148
13,250,525.473091,0.068,0.16
14,250,533.439384,0.064,0.144
15,250,521.106356,0.064,0.1
16,250,523.336677,0.064,0.148
17,250,539.220199,0.04,0.152
18,250,517.945876,0.08,0.18
19,250,531.234144,0.044,0.172
20,250,534.98919,0.04,0.184
21,250,510.641263,0.08,0.176
22,250,535.166227,0.056,0.176
23,250,535.254461,0.044,0.184
24,250,527.474029,0.064,0.164
25,250,528.66633,0.048,0.188
26,250,528.75097,0.052,0.136
27,250,519.668284,0.044,0.128
28,250,518.440163,0.056,0.152
29,250,542.312863,0.056,0.132
30,250,528.761844,0.04,0.14
31,250,513.673927,0.068,0.136
32,250,521.598914,0.056,0.144
33,250,514.111202,0.076,0.152
34,250,510.446069,0.076,0.152
35,250,529.694487,0.068,0.192
36,250,520.93775,0.072,0.14
37,250,524.467964,0.06,0.12
38,250,532.453028,0.052,0.148
39,250,523.446686,0.052,0.128
40,250,543.783756,0.04,0.152
41,250,534.098583,0.06,0.144
42,250,505.872604,0.06,0.152
43,250,523.741636,0.076,0.152
44,250,525.868489,0.064,0.124
45,250,533.942838,0.016,0.144
46,250,533.462604,0.064,0.14
47,250,533.732273,0.056,0.172
48,250,536.124897,0.06,0.14
49,250,521.332054,0.06,0.172
50,250,517.185091,0.068,0.172
51,250,522.999224,0.056,0.14
52,250,527.608802,0.048,0.152
53,250,530.584903,0.052,0.18
54,250,548.310544,0.048,0.148
55,250,516.412526,0.06,0.108
56,250,532.752858,0.052,0.156
57,250,522.87902,0.064,0.164
58,250,531.175735,0.036,0.128
59,250,525.952854,0.048,0.152
60,250,536.906952,0.036,0.172
61,250,519.923836,0.068,0.144
62,250,513.041247,0.056,0.14
63,250,531.700714,0.048,0.156
64,250,518.048598,0.052,0.144
65,250,530.401107,0.068,0.14
66,250,521.759846,0.044,0.144
67,250,526.25832,0.044,0.156
68,250,532.654806,0.048,0.2
69,250,532.311557,0.064,0.188
70,250,512.897447,0.056,0.132
71,250,510.610214,0.1,0.176
72,250,541.24163,0.032,0.188
73,250,514.984423,0.06,0.112
74,250,509.43008,0.064,0.172
75,250,535.245089,0.024,0.164
76,250,533.81898,0.052,0.16
77,250,520.756959,0.048,0.16
78,250,529.379392,0.064,0.14
79,250,514.473413,0.06,0.184
80,250,538.999304,0.064,0.164
81,250,525.90292,0.084,0.188
82,250,537.40523,0.012,0.136
83,250,523.234944,0.072,0.164
84,250,519.076042,0.048,0.156
85,250,531.991003,0.06,0.132
86,250,524.375021,0.048,0.144
87,250,521.198884,0.072,0.12
88,250,519.414244,0.072,0.124
89,250,532.302208,0.06,0.148
90,250,523.240689,0.072,0.148
91,250,518.235948,0.076,0.16
92,250,537.921074,0.036,0.112
93,250,523.567058,0.068,0.152
94,250,514.488554,0.064,0.168
95,250,534.365918,0.048,0.144
