lag,association,n_observations
-20,-0.000006,138000
-19,-0.001956,138600
-18,-0.000493,139200
-17,0.001002,139800
-16,-0.001828,140400
-15,-0.000573,141000
-14,-0.003980,141600
-13,-0.000647,142200
-12,0.003623,142800
-11,-0.001560,143400
-10,-0.002507,144000
-9,-0.006580,144600
-8,0.003870,145200
-7,-0.000921,145800
-6,-0.001430,146400
-5,0.002508,147000
-4,-0.000400,147600
-3,0.004165,148200
-2,-0.002529,148800
-1,0.077843,149400
0,0.000668,150000
1,0.031616,149400
2,-0.005052,148800
3,-0.000073,148200
4,-0.000306,147600
5,-0.001803,147000
6,-0.002144,146400
7,0.000941,145800
8,-0.001233,145200
9,-0.001469,144600
10,-0.001419,144000
11,0.001703,143400
12,-0.004338,142800
13,-0.001235,142200
14,-0.001397,141600
15,-0.006582,141000
16,-0.001798,140400
17,-0.001192,139800
18,-0.002676,139200
19,-0.002253,138600
20,-0.004519,138000
