lag,association,n_observations
-20,-5.736062301693735e-06,138000
-19,-0.0019559794613300545,138600
-18,-0.0004934130351409904,139200
-17,0.0010021288492960251,139800
-16,-0.0018275987141657525,140400
-15,-0.0005729973020807749,141000
-14,-0.003979859856267981,141600
-13,-0.0006465615186546145,142200
-12,0.0036225604049415143,142800
-11,-0.001559731919837344,143400
-10,-0.0025073357420767497,144000
-9,-0.00658014509840338,144600
-8,0.0038703504822417646,145200
-7,-0.0009209520358030539,145800
-6,-0.0014303480546959619,146400
-5,0.002508163757220416,147000
-4,-0.00040030443616008324,147600
-3,0.004165201858853996,148200
-2,-0.002528698488422018,148800
-1,0.07784324772318545,149400
0,0.0006683695404362868,150000
1,0.031616195507758474,149400
2,-0.005051575992501446,148800
3,-7.343574057714631e-05,148200
4,-0.00030602231186335717,147600
5,-0.0018033860360984427,147000
6,-0.002144340227441268,146400
7,0.0009414962365045246,145800
8,-0.0012330210766356834,145200
9,-0.0014689806742009905,144600
10,-0.0014187934510050371,144000
11,0.001702867319655179,143400
12,-0.00433771838699305,142800
13,-0.0012354498133662092,142200
14,-0.0013973051235755603,141600
15,-0.006581838446862049,141000
16,-0.0017984418109930579,140400
17,-0.0011923401546395727,139800
18,-0.0026763962816456635,139200
19,-0.002252797596842253,138600
20,-0.004518612835736922,138000
