cell_id,n_timepoints,mean_distance_nm,contact_fraction,transcription_fraction
0,250,539.630891,0.036000,0.140000
1,250,523.310186,0.060000,0.144000
2,250,521.882632,0.064000,0.160000
3,250,527.301333,0.048000,0.140000
4,250,521.476992,0.040000,0.148000
5,250,522.322640,0.068000,0.148000
6,250,521.044837,0.064000,0.140000
7,250,520.551935,0.056000,0.144000
8,250,533.209514,0.036000,0.140000
9,250,514.843872,0.072000,0.168000
10,250,517.928752,0.072000,0.168000
11,250,525.623568,0.036000,0.148000
12,250,529.775325,0.052000,0.148000
13,250,525.473091,0.068000,0.160000
14,250,533.439384,0.064000,0.144000
15,250,521.106356,0.064000,0.100000
16,250,523.336677,0.064000,0.148000
17,250,539.220199,0.040000,0.152000
18,250,517.945876,0.080000,0.180000
19,250,531.234144,0.044000,0.172000
20,250,534.989190,0.040000,0.184000
21,250,510.641263,0.080000,0.176000
22,250,535.166227,0.056000,0.176000
23,250,535.254461,0.044000,0.184000
24,250,527.474029,0.064000,0.164000
25,250,528.666330,0.048000,0.188000
26,250,528.750970,0.052000,0.136000
27,250,519.668284,0.044000,0.128000
28,250,518.440163,0.056000,0.152000
29,250,542.312863,0.056000,0.132000
30,250,528.761844,0.040000,0.140000
31,250,513.673927,0.068000,0.136000
32,250,521.598914,0.056000,0.144000
33,250,514.111202,0.076000,0.152000
34,250,510.446069,0.076000,0.152000
35,250,529.694487,0.068000,0.192000
36,250,520.937750,0.072000,0.140000
37,250,524.467964,0.060000,0.120000
38,250,532.453028,0.052000,0.148000
39,250,523.446686,0.052000,0.128000
40,250,543.783756,0.040000,0.152000
41,250,534.098583,0.060000,0.144000
42,250,505.872604,0.060000,0.152000
43,250,523.741636,0.076000,0.152000
44,250,525.868489,0.064000,0.124000
45,250,533.942838,0.016000,0.144000
46,250,533.462604,0.064000,0.140000
47,250,533.732273,0.056000,0.172000
48,250,536.124897,0.060000,0.140000
49,250,521.332054,0.060000,0.172000
50,250,517.185091,0.068000,0.172000
51,250,522.999224,0.056000,0.140000
52,250,527.608802,0.048000,0.152000
53,250,530.584903,0.052000,0.180000
54,250,548.310544,0.048000,0.148000
55,250,516.412526,0.060000,0.108000
56,250,532.752858,0.052000,0.156000
57,250,522.879020,0.064000,0.164000
58,250,531.175735,0.036000,0.128000
59,250,525.952854,0.048000,0.152000
60,250,536.906952,0.036000,0.172000
61,250,519.923836,0.068000,0.144000
62,250,513.041247,0.056000,0.140000
63,250,531.700714,0.048000,0.156000
64,250,518.048598,0.052000,0.144000
65,250,530.401107,0.068000,0.140000
66,250,521.759846,0.044000,0.144000
67,250,526.258320,0.044000,0.156000
68,250,532.654806,0.048000,0.200000
69,250,532.311557,0.064000,0.188000
70,250,512.897447,0.056000,0.132000
71,250,510.610214,0.100000,0.176000
72,250,541.241630,0.032000,0.188000
73,250,514.984423,0.060000,0.112000
74,250,509.430080,0.064000,0.172000
75,250,535.245089,0.024000,0.164000
76,250,533.818980,0.052000,0.160000
77,250,520.756959,0.048000,0.160000
78,250,529.379392,0.064000,0.140000
79,250,514.473413,0.060000,0.184000
80,250,538.999304,0.064000,0.164000
81,250,525.902920,0.084000,0.188000
82,250,537.405230,0.012000,0.136000
83,250,523.234944,0.072000,0.164000
84,250,519.076042,0.048000,0.156000
85,250,531.991003,0.060000,0.132000
86,250,524.375021,0.048000,0.144000
87,250,521.198884,0.072000,0.120000
88,250,519.414244,0.072000,0.124000
89,250,532.302208,0.060000,0.148000
90,250,523.240689,0.072000,0.148000
91,250,518.235948,0.076000,0.160000
92,250,537.921074,0.036000,0.112000
93,250,523.567058,0.068000,0.152000
94,250,514.488554,0.064000,0.168000
95,250,534.365918,0.048000,0.144000
96,250,518.663464,0.072000,0.152000
97,250,516.337355,0.080000,0.140000
98,250,522.049823,0.068000,0.140000
99,250,526.684223,0.064000,0.140000
100,250,540.512669,0.052000,0.140000
101,250,537.177971,0.036000,0.164000
102,250,520.861663,0.060000,0.124000
