target_gene,query_guide_id,score,runner_up_score,confidence
THOC5,guide1,0.1928,0.1692,0.0236
CPSF7,guide2,0.3035,0.1964,0.1071
CPSF2,guide3,0.6271,0.6131,0.0139
CPSF1,guide4,0.7207,0.7033,0.0174
PCF11,guide5,0.4947,0.4513,0.0434
SCAF4,guide6,0.3691,0.2343,0.1348
PAPOLA,guide7,0.4814,0.349,0.1324
CPSF2,guide8,0.3409,0.3039,0.0369
RBBP6,guide9,0.5559,0.5053,0.0506
CPSF6,guide10,0.1985,0.1972,0.0014
SCAF1,guide11,0.2313,0.2029,0.0283
SCAF1,guide12,0.4408,0.4251,0.0157
NUDT21,guide13,0.7107,0.6079,0.1029
LEO1,guide14,0.3349,0.4193,-0.0844
SCAF1,guide15,0.4239,0.328,0.0959
SCAF1,guide16,0.5195,0.4985,0.0211
CPSF4,guide17,0.5295,0.5112,0.0183
PABPC1,guide18,0.6605,0.4433,0.2173
CPSF6,guide19,0.6163,0.6055,0.0109
PCF11,guide20,0.6467,0.5352,0.1115
CPSF2,guide21,0.5865,0.5702,0.0163
CPSF4,guide22,0.607,0.603,0.004
SCAF1,guide23,0.332,0.2907,0.0413
PABPN1,guide24,0.5268,0.2547,0.2721
SYMPK,guide25,0.5642,0.5243,0.0399
SCAF1,guide26,0.484,0.4191,0.065
SCAF1,guide27,0.475,0.4357,0.0393
RPRD1B,guide28,0.4152,0.3955,0.0197
CPSF4,guide29,0.6464,0.6295,0.0168
RPRD1B,guide30,0.4685,0.4341,0.0344
CSTF1,guide31,0.2672,0.2437,0.0235
PAPOLA,guide32,0.0761,0.0669,0.0092
