target_gene,query_guide_id,score,runner_up_score,confidence,runner_up_gene,gap,n_cells
THOC5,guide1,0.1592,0.1007,0.91,PAPOLA,0.0585,199
CPSF7,guide2,0.2024,0.1131,1.0,NUDT21,0.0894,200
CPSF2,guide3,0.3011,0.2741,0.96,CPSF1,0.027,23
CPSF1,guide4,0.3424,0.313,0.9,CSTF3,0.0294,68
RPRD1B,guide5,0.226,0.213,0.75,RBBP6,0.0129,178
SCAF4,guide6,0.1406,0.1299,0.61,SRSF3,0.0107,127
PAPOLA,guide7,0.3131,0.2257,1.0,PABPN1,0.0874,208
CPSF2,guide8,0.3015,0.1745,1.0,CPSF1,0.127,102
RBBP6,guide9,0.2878,0.2348,0.92,PCF11,0.0529,48
CTR9,guide10,0.0704,0.0676,0.18,RPRD1B,0.0028,16
SCAF11,guide11,0.1114,0.076,0.66,RPRD1B,0.0354,158
FIP1L1,guide12,0.0927,0.0907,0.17,PCF11,0.0021,20
NUDT21,guide13,0.4843,0.3774,1.0,CPSF6,0.1069,86
LEO1,guide14,0.2493,0.1976,0.98,CTR9,0.0517,55
PABPC1,guide15,0.1661,0.1244,0.84,RPRD1B,0.0417,55
RPRD1B,guide16,0.2338,0.1321,1.0,PAPOLA,0.1016,40
CPSF1,guide17,0.2445,0.242,0.31,FIP1L1,0.0025,27
PABPC1,guide18,0.3261,0.1357,1.0,SCAF1,0.1904,97
CPSF6,guide19,0.3623,0.322,0.98,NUDT21,0.0403,32
RBBP6,guide20,0.2641,0.2237,0.96,PCF11,0.0404,43
CPSF2,guide21,0.3587,0.2474,1.0,CPSF1,0.1113,38
CSTF3,guide22,0.3145,0.2765,0.87,FIP1L1,0.0381,29
RPRD1B,guide23,0.1487,0.1195,0.84,RBBP6,0.0292,83
PABPN1,guide24,0.443,0.2223,1.0,PAPOLA,0.2207,65
CPSF1,guide25,0.211,0.1761,0.83,CPSF2,0.0349,6
PHF3,guide26,0.101,0.0686,0.56,RPRD1B,0.0325,15
PABPN1,guide27,0.1866,0.1651,0.58,THOC5,0.0215,10
RPRD1B,guide28,0.1744,0.1301,0.64,PCF11,0.0444,16
CSTF3,guide29,0.2542,0.2501,0.2,CPSF1,0.0041,22
RPRD1B,guide30,0.1079,0.0905,0.48,SRSF3,0.0174,13
CSTF1,guide31,0.1422,0.128,0.52,RPRD1B,0.0143,10
CSTF1,guide32,0.096,0.0885,0.38,RPRD1B,0.0074,3
