query_guide_id,best_target_gene,score,runner_up_target_gene,runner_up_score
NT-I1,CPSF3L,0.05162153242117546,SF3A1,0.03012353852509691
NT-I10,PABPC1,0.06292210979705631,PCF11,0.059588742981090057
NT-I2,SCAF4,0.031304282465630495,PABPC1,0.029062824556873507
NT-I3,SCAF8,0.040045528214459676,CPSF7,0.017317631751812564
NT-I4,CPSF6,0.0918605047871393,NUDT21,0.08732755730190118
NT-I5,CPSF2,0.1026811390463015,SYMPK,0.09946124331501674
NT-I6,PABPC1,0.04906704375883823,SYMPK,0.04262607860028181
NT-I7,PHF3,0.041816333999393586,SCAF8,0.0199514176457111
NT-I8,CPSF2,0.06524143539270646,CPSF1,0.06458321029419066
NT-I9,PHF3,0.014886263435779859,RPAP2,0.012558124268148414
guide1,SCAF1,0.1735813713211993,THOC5,0.1600732695347377
guide10,CPSF1,0.16236914433690586,CPSF4,0.15959151408995365
guide11,SCAF1,0.23299847329197448,SYMPK,0.19410891435541472
guide12,CPSF4,0.38543854808339334,CPSF1,0.38508412174756845
guide13,NUDT21,0.6356735544449684,CPSF6,0.526137901823968
guide14,CTR9,0.36981928137758735,SCAF1,0.3636385270546727
guide15,SCAF1,0.38116368241254966,SYMPK,0.3141036486927263
guide16,SCAF1,0.5194422972494533,SYMPK,0.4748548867065532
guide17,CPSF4,0.5170797494836782,CPSF1,0.48632529382766065
guide18,PABPC1,0.5321810577694615,SCAF1,0.3755424748664535
guide19,CPSF6,0.5185737810716539,NUDT21,0.5127352791727182
guide2,CPSF7,0.20294774034834223,NUDT21,0.14416914977449927
guide20,PCF11,0.5590754844235984,CPSF4,0.5028273768308166
guide21,CPSF2,0.4734792251726367,CPSF3,0.45402091166010394
guide22,CPSF4,0.5375932022057641,CPSF1,0.5338149857609222
guide23,SCAF1,0.3786318110078292,CSTF1,0.3179969269689181
guide24,PABPN1,0.3992695731356207,CSTF1,0.2301416021046089
guide25,CPSF3,0.455966865373282,CPSF1,0.45374037613883134
guide26,SCAF1,0.4319131307098058,SYMPK,0.374494753461972
guide27,SCAF1,0.4181906137873993,SYMPK,0.36736912415868334
guide28,CSTF1,0.37147492788385755,SCAF1,0.3477387054790851
guide29,CPSF4,0.5514097737145269,CPSF1,0.545941365796735
guide3,CPSF2,0.536773844284955,CPSF1,0.5329869748879962
guide30,CSTF1,0.38439539984729926,RPRD1B,0.366008544614729
guide31,CSTF1,0.22179060456920577,CPSF4,0.2169273346666813
guide32,RPRD1B,0.05156584505879911,CSTF1,0.04441626340441027
guide4,CPSF1,0.6710155598569766,CPSF4,0.6430693047597535
guide5,PCF11,0.45542915652147825,CPSF3,0.42495520911786394
guide6,SCAF4,0.25807035414460494,NUDT21,0.19196849915980685
guide7,PAPOLA,0.3328348622497278,CPSF3,0.24652284125473858
guide8,CPSF2,0.2872136146924044,CPSF3,0.2569507962299679
guide9,RBBP6,0.4529564711780578,PCF11,0.4291725803453934
