,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
GDA,2813.894535172783,1.2774788192632522,0.08376033255807008,15.251596791089513,1.6065566674732947e-52,2.1886121480988694e-48,GDA
ALDH1A3,19017.271416165877,1.6195575746807722,0.14260653779408214,11.356825568680065,6.859198141281526e-30,4.6721428139339114e-26,ALDH1A3
AHRR,910.936472790008,2.1279281106734,0.18903840064257887,11.256591800608511,2.1491038658063047e-29,9.75908065462643e-26,AHRR
ADGRF1,5270.877634722231,0.8337845824808021,0.07506723706230482,11.107170253099524,1.1577021813567688e-28,3.942844204155815e-25,ADGRF1
NR2F2,2536.675656773584,0.9712301388947057,0.09661181336943493,10.05291283769624,8.919133386279912e-24,2.4301070824258248e-20,NR2F2
CYP1A1,298.0244544395896,2.0318404531060454,0.20563877211275342,9.880629184033303,5.051473122781451e-23,1.1469369725275286e-19,CYP1A1
SMAD3,6172.726936353382,0.7480764759581806,0.07962210816380813,9.395336210128324,5.703537425387213e-21,1.1099898620864286e-17,SMAD3
FDXR,2654.5735075615835,0.7878638630108044,0.08983616778167575,8.770007475446969,1.78654424565302e-18,3.0422615323163867e-15,FDXR
CDKN1A,9970.048513675536,1.20052246772698,0.13764654845135885,8.721776762540596,2.7386986982314863e-18,4.145476929556393e-15,CDKN1A
ANKRD37,125.65410577234964,-1.995303307637484,0.2387690397672315,-8.356624919137937,6.453808719569049e-17,8.792023618668916e-14,ANKRD37
ENSG00000251095,332.90304825973044,1.3347075214671036,0.1614089987399537,8.26910229223002,1.3497142882029435e-16,1.5627415979083168e-13,ENSG00000251095
BTG2,1259.8584898306287,0.7854047615494819,0.09500764244070585,8.26675350922061,1.3765616365631508e-16,1.5627415979083168e-13,BTG2
C1orf116,1335.5467480574619,0.7900703884235022,0.0959539158682695,8.23385248297893,1.8128691015889638e-16,1.899747366995881e-13,C1orf116
ZBED2,383.1384873580526,1.2237478712713514,0.15009338243581397,8.153243343654246,3.542916977596893e-16,3.4475112847001763e-13,ZBED2
FAS,490.2134282563564,1.147814291204879,0.14264272440003828,8.046777682020851,8.500238944543463e-16,7.719917009434374e-13,FAS
AJUBA,1113.3953845808148,0.8767062328935229,0.10956822008398692,8.001464587281827,1.229479496153104e-15,1.0468249485058584e-12,AJUBA
DDIT3,365.0585622148935,-1.2303423884817344,0.1587474109373121,-7.750314674219068,9.16651093669329e-15,7.345610499445453e-12,DDIT3
TP53INP1,1288.9614349827518,0.8636806705207865,0.1118120893404275,7.724394344257268,1.1238641419730627e-14,8.505778447832797e-12,TP53INP1
ZMAT3,1324.4245829978636,0.9445316804918471,0.12292897504705538,7.683556135811711,1.5473211641490747e-14,1.1094292746948865e-11,ZMAT3
NR1D1,2305.944734422506,-1.0081632495389337,0.1331066595008739,-7.574100749875065,3.616236995976986e-14,2.463199829809724e-11,NR1D1
SULF2,357.1768655616166,1.4576084944708403,0.19513360664717552,7.469797332790387,8.031842729945112e-14,5.2103711195258216e-11,SULF2
PPP1R15A,1964.2155545464072,-0.6450411758365542,0.08659886218782972,-7.4486102881754235,9.432855744307875e-14,5.841081536577554e-11,PPP1R15A
FAM83H,4435.804844657953,0.7031808064241806,0.09494575730144654,7.406131947440556,1.3003645651684867e-13,7.702115857082737e-11,FAM83H
TINAGL1,3508.838064398607,0.7142750928221683,0.09801191396400295,7.287635389759878,3.154422537447789e-13,1.7905290928188013e-10,TINAGL1
PLEKHA2,971.6667392700141,-0.7517678693895943,0.10355232691079441,-7.259787315423708,3.876994416607449e-13,2.112651797497731e-10,PLEKHA2
CAB39,2908.6131930621814,0.6368550333007404,0.0880041187925363,7.236650307266672,4.599019255206992e-13,2.4097092043724944e-10,CAB39
STK17A,643.9207726921042,0.7781762170370929,0.10813089981236229,7.196612794191566,6.172672867056676e-13,3.114456387700485e-10,STK17A
BAX,1210.9089704026192,0.8125995345957505,0.11347523534214121,7.161029736097635,8.007327600198135e-13,3.8958508534821137e-10,BAX
FOS,309.4057506125298,-1.5530864994877003,0.2177033074946933,-7.1339591362228525,9.752229452101295e-13,4.581193856068136e-10,FOS
RPS27L,1151.0680027164044,0.8278174116101682,0.11682000833066077,7.086263932348119,1.3778092845491684e-12,6.256631961137775e-10,RPS27L
AEN,1601.2461568022525,0.6091317578987585,0.08766317807788834,6.948547511676426,3.690662128564405e-12,1.6218674250784803e-09,AEN
PER1,4060.4641247227933,-0.5821424081566309,0.08426272941598137,-6.908658337932038,4.892587038827899e-12,2.082866038436015e-09,PER1
ACTA2,272.5965534555868,1.1205015598532968,0.16259578426112425,6.89133217656986,5.527230265178059e-12,2.281741148561233e-09,ACTA2
ALS2CL,1304.1208863352233,0.635532694864532,0.09274876551999604,6.852195727904488,7.272495658308483e-12,2.913917892739308e-09,ALS2CL
INKA2,218.96453929013174,1.2770604853438818,0.18840608904418157,6.778233611358542,1.2165403109439742e-11,4.735122473139932e-09,INKA2
HAS3,6943.174025867152,0.8128068672422059,0.1210064876543407,6.7170519779403675,1.8543783679343602e-11,7.017276807324941e-09,HAS3
SERPINB5,1153.30082931515,0.7542508733935042,0.11296602276564799,6.676794091956519,2.4422570389600658e-11,8.992126389662966e-09,SERPINB5
VIPR1,244.55844143513846,1.0446686305788297,0.16011776012695442,6.524376994472889,6.828476168820612e-11,2.4480087065221897e-08,VIPR1
CCDC9B,897.898899730584,0.8842699911691403,0.13578531476570227,6.512265282110582,7.402583266516822e-11,2.5857792779425298e-08,CCDC9B
CYFIP2,2346.233620690408,0.7282472324916193,0.11258744035560983,6.468281277125005,9.912386084084261e-11,3.375910890586997e-08,CYFIP2
SCD,24232.492170717655,-0.5142626394865633,0.0802318780030097,-6.4097046247287395,1.4580183699117987e-10,4.844532744709374e-08,SCD
COL4A5,1403.9300105011416,0.5971509281031051,0.09404475678213282,6.349646152910838,2.158107477267057e-10,6.99997575304979e-08,COL4A5
SUSD6,405.04226090847646,0.8330707146170669,0.13139455835273614,6.340222343003288,2.2943380708916028e-10,7.268783148780535e-08,SUSD6
PCNA,2721.2462457808556,0.5079398181180147,0.08058880022218223,6.302858669165337,2.922053235798594e-10,9.047075279837329e-08,PCNA
RAPGEF4,73.70644830594766,-1.9181392915353164,0.3046391908513092,-6.296429839427776,3.0457904221775685e-10,9.22062287140556e-08,RAPGEF4
TRIB2,538.2236257629453,-0.8139131316444268,0.12940340076139337,-6.289735253134493,3.1800784399432553e-10,9.41787143203195e-08,TRIB2
TP53I3,388.95193616791016,1.3156003979848536,0.2100648832305213,6.262828787718594,3.780556411453193e-10,1.0957982977282307e-07,TP53I3
ZBTB20,673.7770986511183,-0.6795950697060015,0.10866975076955043,-6.253764869187736,4.0067411651723743e-10,1.1371632269404845e-07,ZBTB20
FBXO22,841.2928471960963,0.6153579782049629,0.098466071923951,6.249441723238707,4.11922400923329e-10,1.1452283403629614e-07,FBXO22
PHLDA3,800.5430656723178,0.6969457526396509,0.11167191063653038,6.2410121638204,4.3474843469149966e-10,1.1845155851604599e-07,PHLDA3
ARID5B,158.06296149253205,-1.202014055981518,0.19337471465944467,-6.215983605190598,5.100412940759852e-10,1.3624103037641462e-07,ARID5B
