Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
Synthesis Of Epoxy (EET) And Dihydroxyeicosatrienoic Acids (DHET) R-HSA-2142670,2/8,0.0003529795564931231,0.06225911859079153,110.06849315068493,874.9455047284025,CYP1A1;CYP1B1
Synthesis Of (16-20)-Hydroxyeicosatetraenoic Acids (HETE) R-HSA-2142816,2/9,0.00045279358975121114,0.06225911859079153,95.38356164383562,734.4605009813494,CYP1A1;CYP1B1
Cytochrome P450 - Arranged By Substrate Type R-HSA-211897,3/65,0.001641330794178181,0.15045532279966659,16.389070422535212,105.09078250370851,CYP1A1;AHRR;CYP1B1
Xenobiotics R-HSA-211981,2/24,0.003354490570422867,0.2306212267165721,31.748858447488583,180.88770379865534,CYP1A1;AHRR
Endogenous Sterols R-HSA-211976,2/27,0.00423696079045196,0.23303284347485778,28.005640612409348,153.02027351422382,AHRR;CYP1B1
Phase I - Functionalization Of Compounds R-HSA-211945,3/104,0.006210317447155287,0.2639513421149247,10.053909664885866,51.089376950940725,CYP1A1;AHRR;CYP1B1
O-linked Glycosylation R-HSA-5173105,3/107,0.00671876143565263,0.2639513421149247,9.762450299885437,48.84008865400377,GALNT5;MUC19;THBS1
PPARA Activates Gene Expression R-HSA-1989781,3/116,0.008390326946200552,0.2686468420022657,8.980517466029658,42.932942437846044,CYP1A1;AHRR;NR1D1
Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206,3/118,0.008792078465528695,0.2686468420022657,8.823303457106274,41.76867273998382,CYP1A1;AHRR;NR1D1
TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008,2/44,0.010986137975512155,0.28466608797510295,16.775987107171638,75.67850748203925,TP53I3;IGFBP3
Metabolism Of Lipids R-HSA-556833,7/732,0.014762951102987028,0.28466608797510295,3.192051458764071,13.456522384837024,PIK3R3;ACER2;CYP1B1;NR1D1;CYP1A1;AHRR;SH2D3C
TFAP2 (AP-2) Family Regulates Transcription Of Cell Cycle Factors R-HSA-8866911,1/5,0.01798684475027308,0.28466608797510295,92.86666666666666,373.148912482694,CDKN1A
O-linked Glycosylation Of Mucins R-HSA-913709,2/59,0.019206126090118847,0.28466608797510295,12.381774865991662,48.93928688148483,GALNT5;MUC19
Arachidonic Acid Metabolism R-HSA-2142753,2/59,0.019206126090118847,0.28466608797510295,12.381774865991662,48.93928688148483,CYP1A1;CYP1B1
CD22 Mediated BCR Regulation R-HSA-5690714,1/6,0.021546220932979088,0.28466608797510295,75.97454545454545,291.55648466760186,CD22
FOXO-mediated Transcription R-HSA-9614085,2/65,0.0230335924420617,0.28466608797510295,11.20537158882537,42.25323297730983,CDKN1A;DDIT3
Neurofascin Interactions R-HSA-447043,1/7,0.025093034212054416,0.28466608797510295,64.28,236.8824057367143,ANK1
RUNX3 Regulates CDKN1A Transcription R-HSA-8941855,1/7,0.025093034212054416,0.28466608797510295,64.28,236.8824057367143,CDKN1A
Aryl Hydrocarbon Receptor Signaling R-HSA-8937144,1/7,0.025093034212054416,0.28466608797510295,64.28,236.8824057367143,AHRR
