step,source,destination,volume_uL,pipette,tip_policy
lysis:A1,reagents:A1,processing_plate:A1,80,p300_single_gen2,fresh_tip
beads:A1,reagents:A2,processing_plate:A1,120,p300_single_gen2,fresh_tip
supernatant:A1,processing_plate:A1,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:A1,reagents:A3,processing_plate:A1,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:A1,processing_plate:A1,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:A1,reagents:A3,processing_plate:A1,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:A1,processing_plate:A1,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:A1,reagents:A4,processing_plate:A1,40,p300_single_gen2,fresh_tip
lysis:B1,reagents:A1,processing_plate:B1,80,p300_single_gen2,fresh_tip
beads:B1,reagents:A2,processing_plate:B1,120,p300_single_gen2,fresh_tip
supernatant:B1,processing_plate:B1,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:B1,reagents:A3,processing_plate:B1,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:B1,processing_plate:B1,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:B1,reagents:A3,processing_plate:B1,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:B1,processing_plate:B1,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:B1,reagents:A4,processing_plate:B1,40,p300_single_gen2,fresh_tip
lysis:C1,reagents:A1,processing_plate:C1,80,p300_single_gen2,fresh_tip
beads:C1,reagents:A2,processing_plate:C1,120,p300_single_gen2,fresh_tip
supernatant:C1,processing_plate:C1,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:C1,reagents:A3,processing_plate:C1,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:C1,processing_plate:C1,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:C1,reagents:A3,processing_plate:C1,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:C1,processing_plate:C1,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:C1,reagents:A4,processing_plate:C1,40,p300_single_gen2,fresh_tip
lysis:D1,reagents:A1,processing_plate:D1,80,p300_single_gen2,fresh_tip
beads:D1,reagents:A2,processing_plate:D1,120,p300_single_gen2,fresh_tip
supernatant:D1,processing_plate:D1,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:D1,reagents:A3,processing_plate:D1,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:D1,processing_plate:D1,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:D1,reagents:A3,processing_plate:D1,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:D1,processing_plate:D1,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:D1,reagents:A4,processing_plate:D1,40,p300_single_gen2,fresh_tip
lysis:A2,reagents:A1,processing_plate:A2,80,p300_single_gen2,fresh_tip
beads:A2,reagents:A2,processing_plate:A2,120,p300_single_gen2,fresh_tip
supernatant:A2,processing_plate:A2,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:A2,reagents:A3,processing_plate:A2,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:A2,processing_plate:A2,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:A2,reagents:A3,processing_plate:A2,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:A2,processing_plate:A2,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:A2,reagents:A4,processing_plate:A2,40,p300_single_gen2,fresh_tip
lysis:B2,reagents:A1,processing_plate:B2,80,p300_single_gen2,fresh_tip
beads:B2,reagents:A2,processing_plate:B2,120,p300_single_gen2,fresh_tip
supernatant:B2,processing_plate:B2,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:B2,reagents:A3,processing_plate:B2,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:B2,processing_plate:B2,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:B2,reagents:A3,processing_plate:B2,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:B2,processing_plate:B2,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:B2,reagents:A4,processing_plate:B2,40,p300_single_gen2,fresh_tip
lysis:C2,reagents:A1,processing_plate:C2,80,p300_single_gen2,fresh_tip
beads:C2,reagents:A2,processing_plate:C2,120,p300_single_gen2,fresh_tip
supernatant:C2,processing_plate:C2,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:C2,reagents:A3,processing_plate:C2,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:C2,processing_plate:C2,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:C2,reagents:A3,processing_plate:C2,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:C2,processing_plate:C2,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:C2,reagents:A4,processing_plate:C2,40,p300_single_gen2,fresh_tip
lysis:D2,reagents:A1,processing_plate:D2,80,p300_single_gen2,fresh_tip
beads:D2,reagents:A2,processing_plate:D2,120,p300_single_gen2,fresh_tip
supernatant:D2,processing_plate:D2,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:D2,reagents:A3,processing_plate:D2,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:D2,processing_plate:D2,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:D2,reagents:A3,processing_plate:D2,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:D2,processing_plate:D2,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:D2,reagents:A4,processing_plate:D2,40,p300_single_gen2,fresh_tip
lysis:A3,reagents:A1,processing_plate:A3,80,p300_single_gen2,fresh_tip
beads:A3,reagents:A2,processing_plate:A3,120,p300_single_gen2,fresh_tip
supernatant:A3,processing_plate:A3,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:A3,reagents:A3,processing_plate:A3,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:A3,processing_plate:A3,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:A3,reagents:A3,processing_plate:A3,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:A3,processing_plate:A3,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:A3,reagents:A4,processing_plate:A3,40,p300_single_gen2,fresh_tip
lysis:B3,reagents:A1,processing_plate:B3,80,p300_single_gen2,fresh_tip
beads:B3,reagents:A2,processing_plate:B3,120,p300_single_gen2,fresh_tip
supernatant:B3,processing_plate:B3,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:B3,reagents:A3,processing_plate:B3,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:B3,processing_plate:B3,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:B3,reagents:A3,processing_plate:B3,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:B3,processing_plate:B3,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:B3,reagents:A4,processing_plate:B3,40,p300_single_gen2,fresh_tip
lysis:C3,reagents:A1,processing_plate:C3,80,p300_single_gen2,fresh_tip
beads:C3,reagents:A2,processing_plate:C3,120,p300_single_gen2,fresh_tip
supernatant:C3,processing_plate:C3,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:C3,reagents:A3,processing_plate:C3,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:C3,processing_plate:C3,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:C3,reagents:A3,processing_plate:C3,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:C3,processing_plate:C3,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:C3,reagents:A4,processing_plate:C3,40,p300_single_gen2,fresh_tip
lysis:D3,reagents:A1,processing_plate:D3,80,p300_single_gen2,fresh_tip
beads:D3,reagents:A2,processing_plate:D3,120,p300_single_gen2,fresh_tip
supernatant:D3,processing_plate:D3,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:D3,reagents:A3,processing_plate:D3,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:D3,processing_plate:D3,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
