"","1_1","1_2","1_3","2_1","2_2","2_3","3_1","3_2","3_3","4_1","4_2","4_3","5_1","5_2","5_3","6_1","6_2","6_3","7_1","7_2","7_3","8_1","8_2","8_3","9_1","9_2","9_3","10_1","10_2","10_3"
"ENSG00000223972",6,0,0,0,1,0,0,0,0,0,2,0,2,1,1,1,0,0,3,0,0,0,0,3,0,0,2,1,1,0
"ENSG00000227232",569,700,781,857,713,414,140,492,709,677,740,358,490,466,295,772,821,189,905,570,553,482,281,741,344,213,628,290,388,439
"ENSG00000243485",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
"ENSG00000237613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238009",6,11,8,17,20,11,5,7,5,13,13,8,9,9,5,28,37,3,7,6,10,12,5,26,10,0,12,2,5,14
"ENSG00000239945",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237683",1146,1615,1490,1641,1321,711,303,1096,1389,1212,1505,638,1061,1069,598,1459,1353,404,1860,1024,999,841,519,1382,688,370,1354,573,894,994
"ENSG00000268903",8,20,4,5,5,0,1,10,18,1,4,1,12,12,0,4,7,0,6,3,5,7,3,5,6,0,8,6,7,3
"ENSG00000269981",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239906",27,40,18,15,22,13,2,13,14,11,18,6,22,12,12,14,25,4,30,9,18,10,7,11,12,9,13,9,11,6
"ENSG00000241860",95,157,120,180,150,82,40,77,147,109,128,79,103,100,55,138,133,46,137,73,88,75,49,130,59,49,133,54,111,109
"ENSG00000222623",1,4,2,3,2,2,0,8,5,2,2,1,6,0,0,6,3,2,12,1,5,7,2,9,5,0,3,3,4,1
"ENSG00000241599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228463",3,1,7,6,2,0,0,4,5,3,2,1,0,5,1,2,7,0,10,9,7,2,0,1,0,1,9,0,3,8
"ENSG00000241670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237094",10,8,8,6,4,2,7,9,10,19,13,3,4,11,3,6,12,5,15,7,13,7,2,13,0,5,9,2,5,9
"ENSG00000250575",0,0,1,3,0,0,0,0,2,0,0,0,1,3,2,0,0,0,1,2,0,0,3,0,0,0,1,0,1,1
"ENSG00000233653",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000269732",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236601",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236743",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231709",0,1,1,1,0,2,0,6,4,0,2,2,1,3,0,0,1,0,1,1,3,3,0,3,3,0,0,0,3,3
"ENSG00000235146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,2,0
"ENSG00000239664",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000230021",1,2,1,2,1,0,0,2,2,2,1,1,3,1,5,4,4,0,1,3,5,0,0,6,0,0,2,2,0,2
"ENSG00000223659",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225972",75,104,102,134,102,61,7,104,92,146,77,24,65,81,41,155,92,53,151,38,31,61,22,127,50,34,76,29,40,40
"ENSG00000225630",5994,9679,10083,12430,10203,6466,1927,6521,9147,12185,11213,5238,6832,6470,4179,12875,11667,3832,11614,7047,6326,7036,3655,11112,4681,2616,10843,3827,6457,9125
"ENSG00000237973",4079,3311,3216,3430,2731,2830,520,2322,2500,4542,6974,1677,1398,1991,1215,3358,3448,1698,6148,2027,1606,1802,1054,3249,1086,744,2164,1239,1714,2615
"ENSG00000229344",320,440,392,494,298,277,104,245,372,555,412,289,197,308,169,536,182,204,602,427,344,299,209,526,246,104,348,181,237,420
"ENSG00000240409",1,0,2,1,4,0,0,1,0,0,0,0,1,1,0,7,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"ENSG00000248527",30306,44999,45416,60731,50550,31384,8502,30250,42264,57793,54209,24226,31287,30543,18943,59364,54485,17839,58069,33468,29731,27646,15301,45597,21041,12448,43411,17856,27378,40064
"ENSG00000198744",86,119,116,162,119,115,27,117,107,164,170,121,66,62,46,257,93,74,181,99,108,96,55,145,81,30,116,58,58,160
"ENSG00000268663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000185097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224956",112,107,138,168,125,58,21,98,146,172,160,66,110,83,67,136,88,52,208,105,92,87,59,134,65,55,149,81,58,99
