chrom	intron_start	intron_end	strand	reads	novel	gene	role	notes
chr9	17477	17715	+	2	True			uniquely-placed split-alignment cluster
chr9	312167	317042	+	1	False			uniquely-placed split-alignment cluster
chr9	339100	340158	+	1	False			uniquely-placed split-alignment cluster
chr9	377212	379770	+	1	False			uniquely-placed split-alignment cluster
chr9	379933	382509	+	2	True			uniquely-placed split-alignment cluster
chr9	396935	399145	+	1	False			uniquely-placed split-alignment cluster
chr9	418208	420400	+	1	False			uniquely-placed split-alignment cluster
chr9	441418	441874	+	1	False			uniquely-placed split-alignment cluster
chr9	442010	443426	+	1	False			uniquely-placed split-alignment cluster
chr9	446605	449781	-	1	True			uniquely-placed split-alignment cluster
chr9	446607	449783	+	2	False			uniquely-placed split-alignment cluster
chr9	449928	452010	+	1	False			uniquely-placed split-alignment cluster
chr9	463688	464158	+	1	False			uniquely-placed split-alignment cluster
chr9	2054721	2056668	+	2	True			uniquely-placed split-alignment cluster
chr9	2054721	2056668	-	1	True			uniquely-placed split-alignment cluster
chr9	2083414	2084085	+	1	False			uniquely-placed split-alignment cluster
chr9	2087072	2088499	+	1	False			uniquely-placed split-alignment cluster
chr9	2096765	2097384	+	1	False			uniquely-placed split-alignment cluster
chr9	2104170	2110253	+	1	False			uniquely-placed split-alignment cluster
chr9	2182243	2186095	+	1	False			uniquely-placed split-alignment cluster
chr9	2777995	2804321	+	1	True			uniquely-placed split-alignment cluster
chr9	2824815	2827071	+	1	True			uniquely-placed split-alignment cluster
chr9	2824815	2827071	-	1	True			uniquely-placed split-alignment cluster
chr9	2831345	2833356	+	1	False			uniquely-placed split-alignment cluster
chr9	4567768	4572203	+	1	False			uniquely-placed split-alignment cluster
chr9	4713096	4718417	+	1	True			uniquely-placed split-alignment cluster
chr9	4713096	4718417	-	1	True			uniquely-placed split-alignment cluster
chr9	4849551	4860124	+	1	False			uniquely-placed split-alignment cluster
chr9	5044519	5050683	-	1	True			uniquely-placed split-alignment cluster
chr9	5044521	5050685	+	1	False			uniquely-placed split-alignment cluster
chr9	5746083	5747300	+	1	True			uniquely-placed split-alignment cluster
chr9	5746083	5747300	-	1	True			uniquely-placed split-alignment cluster
chr9	5754931	5756211	+	1	False			uniquely-placed split-alignment cluster
chr9	5772742	5772891	+	1	False			uniquely-placed split-alignment cluster
chr9	6481767	6481991	+	1	False			uniquely-placed split-alignment cluster
chr9	6482100	6486820	+	1	False			uniquely-placed split-alignment cluster
chr9	6589292	6592141	+	1	True			uniquely-placed split-alignment cluster
chr9	6589292	6592141	-	1	True			uniquely-placed split-alignment cluster
chr9	6814746	6849506	+	1	False			uniquely-placed split-alignment cluster
chr9	6893233	6980924	+	1	False			uniquely-placed split-alignment cluster
chr9	6986667	6990415	+	1	False			uniquely-placed split-alignment cluster
chr9	7165358	7169797	+	1	False			uniquely-placed split-alignment cluster
chr9	15433637	15444601	+	1	False			uniquely-placed split-alignment cluster
chr9	15466859	15468628	+	2	True			uniquely-placed split-alignment cluster
chr9	15466859	15468628	-	1	True			uniquely-placed split-alignment cluster
chr9	15468844	15468956	+	1	False			uniquely-placed split-alignment cluster
chr9	15469058	15469264	+	1	True			uniquely-placed split-alignment cluster
chr9	15469058	15469264	-	1	True			uniquely-placed split-alignment cluster
chr9	15472751	15474008	+	1	False			uniquely-placed split-alignment cluster
chr9	15478553	15479590	+	3	False			uniquely-placed split-alignment cluster
chr9	15478553	15479590	-	1	False			uniquely-placed split-alignment cluster
chr9	15479687	15486004	+	1	True			uniquely-placed split-alignment cluster
chr9	15479687	15486004	-	2	True			uniquely-placed split-alignment cluster
chr9	15486068	15486825	+	1	True			uniquely-placed split-alignment cluster
chr9	19116650	19118320	+	1	False			uniquely-placed split-alignment cluster
chr9	19116650	19118320	-	1	False			uniquely-placed split-alignment cluster
chr9	19119832	19120879	+	1	False			uniquely-placed split-alignment cluster
chr9	19121166	19123564	+	1	False			uniquely-placed split-alignment cluster
chr9	19123648	19126113	+	1	False			uniquely-placed split-alignment cluster
chr9	19123648	19126113	-	1	False			uniquely-placed split-alignment cluster
chr9	19126310	19126396	+	2	False			uniquely-placed split-alignment cluster
chr9	19200587	19378371	-	1	True			uniquely-placed split-alignment cluster
chr9	19200591	19378375	-	1	True			uniquely-placed split-alignment cluster
chr9	19328163	19331977	+	1	False			uniquely-placed split-alignment cluster
chr9	19336415	19336685	+	1	False			uniquely-placed split-alignment cluster
chr9	19341115	19342632	+	1	False			uniquely-placed split-alignment cluster
chr9	19350880	19352072	+	1	False			uniquely-placed split-alignment cluster
chr9	19352666	19356971	+	1	False			uniquely-placed split-alignment cluster
chr9	19376388	19376492	+	27	True			uniquely-placed split-alignment cluster
chr9	19376388	19376492	-	9	True			uniquely-placed split-alignment cluster
chr9	19376389	19376493	+	1	False			uniquely-placed split-alignment cluster
chr9	19376389	19376493	-	2	False			uniquely-placed split-alignment cluster
chr9	19376390	19376494	+	2	True			uniquely-placed split-alignment cluster
chr9	19376649	19378364	+	4	True			uniquely-placed split-alignment cluster
chr9	19376649	19378364	-	2	True			uniquely-placed split-alignment cluster
chr9	19378514	19378706	+	14	True			uniquely-placed split-alignment cluster
chr9	19378514	19378706	-	12	True			uniquely-placed split-alignment cluster
chr9	19378918	19379485	+	14	True			uniquely-placed split-alignment cluster
chr9	19378919	19379486	-	14	False			uniquely-placed split-alignment cluster
chr9	20346575	20353524	+	1	False			uniquely-placed split-alignment cluster
chr9	20346575	20353524	-	1	False			uniquely-placed split-alignment cluster
chr9	20658826	20673618	+	1	True			uniquely-placed split-alignment cluster
chr9	20720535	20740235	+	1	False			uniquely-placed split-alignment cluster
chr9	20944775	20946700	+	1	False			uniquely-placed split-alignment cluster
chr9	20949674	20950993	-	1	True			uniquely-placed split-alignment cluster
chr9	20949676	20950995	+	1	False			uniquely-placed split-alignment cluster
chr9	20978455	20981425	+	2	False			uniquely-placed split-alignment cluster
chr9	20990375	20993252	+	1	False			uniquely-placed split-alignment cluster
chr9	26920382	26923174	+	2	True			uniquely-placed split-alignment cluster
chr9	32424666	32425837	+	2	False			uniquely-placed split-alignment cluster
chr9	32429504	32430417	+	1	False			uniquely-placed split-alignment cluster
chr9	32473065	32476981	+	1	True			uniquely-placed split-alignment cluster
chr9	32553944	32570958	+	1	True			uniquely-placed split-alignment cluster
chr9	32988125	32989758	+	1	False			uniquely-placed split-alignment cluster
chr9	33025384	33026474	+	2	False			uniquely-placed split-alignment cluster
chr9	33026617	33026812	+	1	False			uniquely-placed split-alignment cluster
chr9	33030668	33034215	+	1	False			uniquely-placed split-alignment cluster
chr9	33047389	33048102	+	1	True			uniquely-placed split-alignment cluster
chr9	33060585	33062048	+	1	False			uniquely-placed split-alignment cluster
chr9	33255308	33255863	+	1	True			uniquely-placed split-alignment cluster
chr9	33256910	33258920	+	1	True			uniquely-placed split-alignment cluster
chr9	33259034	33261086	+	1	False			uniquely-placed split-alignment cluster
chr9	33259034	33261086	-	1	False			uniquely-placed split-alignment cluster
chr9	33262830	33264222	+	1	True			uniquely-placed split-alignment cluster
chr9	33262830	33264222	-	2	True			uniquely-placed split-alignment cluster
chr9	33266113	33267850	-	1	True			uniquely-placed split-alignment cluster
chr9	33267900	33270622	+	1	False			uniquely-placed split-alignment cluster
chr9	33270717	33271151	+	1	False			uniquely-placed split-alignment cluster
chr9	33271222	33276453	-	1	True			uniquely-placed split-alignment cluster
chr9	33271224	33276455	+	1	False			uniquely-placed split-alignment cluster
chr9	33276562	33278109	-	2	True			uniquely-placed split-alignment cluster
chr9	33276565	33278112	+	1	False			uniquely-placed split-alignment cluster
chr9	33278226	33280808	+	1	False			uniquely-placed split-alignment cluster
chr9	33462813	33463031	+	1	True			uniquely-placed split-alignment cluster
chr9	33462813	33463031	-	1	True			uniquely-placed split-alignment cluster
chr9	33468567	33468751	+	1	False			uniquely-placed split-alignment cluster
chr9	33601393	33667927	+	1	True			uniquely-placed split-alignment cluster
chr9	33817935	33886880	+	1	False			uniquely-placed split-alignment cluster
chr9	33973237	33986758	+	1	True			uniquely-placed split-alignment cluster
chr9	33996334	33998786	+	1	False			uniquely-placed split-alignment cluster
chr9	34098517	34106432	+	1	True			uniquely-placed split-alignment cluster
chr9	34106494	34107357	+	1	True			uniquely-placed split-alignment cluster
chr9	34107566	34125022	+	1	False			uniquely-placed split-alignment cluster
chr9	34125278	34126353	+	1	False			uniquely-placed split-alignment cluster
chr9	34234338	34241181	+	1	True			uniquely-placed split-alignment cluster
chr9	34242109	34249778	+	1	False			uniquely-placed split-alignment cluster
chr9	34249962	34250657	+	1	False			uniquely-placed split-alignment cluster
chr9	34617972	34618675	+	1	False			uniquely-placed split-alignment cluster
chr9	34617972	34618675	-	1	False			uniquely-placed split-alignment cluster
chr9	35057223	35057375	+	1	False			uniquely-placed split-alignment cluster
chr9	35057223	35057375	-	2	False			uniquely-placed split-alignment cluster
chr9	35057530	35059062	+	2	True			uniquely-placed split-alignment cluster
chr9	35057530	35059062	-	2	True			uniquely-placed split-alignment cluster
chr9	35059219	35059491	+	1	True			uniquely-placed split-alignment cluster
chr9	35059220	35059488	-	4	True			uniquely-placed split-alignment cluster
chr9	35059801	35060311	+	1	True			uniquely-placed split-alignment cluster
chr9	35060924	35061014	+	1	False			uniquely-placed split-alignment cluster
chr9	35060924	35061014	-	1	False			uniquely-placed split-alignment cluster
chr9	35061182	35061578	+	1	True			uniquely-placed split-alignment cluster
chr9	35062139	35062216	+	2	False			uniquely-placed split-alignment cluster
chr9	35062139	35062216	-	1	False			uniquely-placed split-alignment cluster
